"","GDP..PPP..constant.2011.international...","Employment.in.industry....of.total.employment.","Employment.in.agriculture....of.total.employment.","Total.greenhouse.gas.emissions..kt.of.CO2.equivalent.","Renewable.energy.consumption....of.total.final.energy.consumption.","Fossil.fuel.energy.consumption....of.total.","Energy.use..kg.of.oil.equivalent.per.capita.","CO2.emissions..metric.tons.per.capita.","Population..total","ProtectedAreas","CountryNames","Paris_Agreement_Code","Polityxconst","UNmentions"
"147",312593641705.202,20.1666660308838,2.23333334922791,64475.9813489607,56.9906660417694,59.3551987671946,6167.17676896249,10.4535673251626,4953637.66666667,9.08,"Norway",2,7,11
"148",140078091550.188,28.5045133008764,8.6733504855134,60649.7072323447,-1.89184224091522,98.7683885327251,6876.56661282611,17.1080868582167,3232980.66666667,3.99,"Oman",1,2,1
"149",752775315772.397,20.3511441931713,43.9365447685697,362246.100082121,45.476642136392,60.9996549426082,489.572756740827,0.933733873920134,173701939.333333,8.6,"Pakistan",2,6,11
"150",265381625.719916,27.2955817322015,5.27913802737412,1.37514060552,3.86191690371676,87.8575842839674,3897.64347269274,10.7338942376622,20610.6666666667,0.24,"Palau",2,5.80100110915673,47
"151",62530716488.1739,18.5000006357829,17.0333334604899,15845.9961875234,23.0559882339773,78.408666192974,1078.59138851894,2.6558342580118,3682082,5.18,"Panama",2,6,5
"152",16333207842.8431,16.3668241652832,30.5379484676732,10881.0476703639,46.502166805967,52.4949618841596,666.452868255278,0.708026489797287,7001186.33333333,0.66,"Papua New Guinea",2,6,22
"153",46382370007.2325,17.6666666666667,26.7999998728434,50438.8578692145,63.346105184824,33.3447782746227,777.420557415516,0.827498194143311,6294267.33333333,6.5,"Paraguay",2,7,11
"154",308770080535.137,23.7999998728434,22.0468140470258,73236.9845556744,29.5094791354197,76.1703333655741,687.473788359124,1.81210275753479,29764101,19.37,"Peru",2,7,13
"155",549486230118.433,15.0666666030884,32.8000005086263,163678.59673998,29.2084010228012,59.6564262236752,436.514079284364,0.923150637515769,94519152.3333333,2.44,"Philippines",1,6,9
"156",848019059781.496,30.7666670481364,12.3999999364217,421294.742949816,10.3863935613986,91.8493687228403,2620.43573245482,8.17405116069631,38056404.3333333,29.31,"Poland",2,7,13
"157",282286240919.208,27.8333333333333,6.80000003178914,72061.1913197911,26.849579837264,75.299912628645,2148.81644873327,4.48138889321399,10548501.3333333,1.89,"Portugal",2,7,6
"159",249659534277.212,48.9234806455885,-15.0782900917574,100812.659308822,-50.0469936253822,134.302221060243,16993.6497995857,43.3474637336044,1895524.66666667,1.24,"Qatar",1,1,6
"160",354613145832.313,29.7000001271566,26.7666670481364,121962.446219015,22.2957582405082,76.3833302066661,1749.63881228496,4.06764444409755,20150811.3333333,22.09,"Romania",1,7,5
"161",3435131742074.19,27.6666666666667,7.63333336512248,2728137.47595936,3.2718222580952,90.7828887615902,5019.91083764885,12.3038997358222,143003997.666667,8.75,"Russian Federation",1,5.70167894179695,1
"162",14823848057.3122,11.733557750042,64.2299219128958,6619.22350362389,86.0027234629641,14.1202743262914,-17.0279878920426,0.0627886866111441,10555816,9.43,"Rwanda",2,3,2
"163",1045647682.86076,14.4090347604213,25.0987817297959,348.648944812556,19.9940675886063,77.7620196963322,203.049729252401,1.23180954170301,187454.666666667,0.23,"Samoa",2,6.09529560433593,58
"164",122792204175.051,24.3595613786824,12.3478492509633,-11182.9469238555,18.240827414129,73.4229593740973,2542.60200673216,5.85275318001441,30933.3333333333,0,"San Marino",1,5.58657874804972,12
"165",495948308.220052,19.7252666709012,30.6419856513896,190.558297877722,34.7746412516896,66.3034082392397,64.5902878704168,0.601406295094903,174670,0,"Sao Tome and Principe",2,6.22154371753707,18
"166",1349972867887.61,24.2830720231151,3.92123972026472,519838.99945722,0.00865171093905379,99.9965371892757,6527.63844235967,18.3711704752828,28791710.6666667,28.24,"Saudi Arabia",2,1,0
"167",29095747318.961,17.9918285978361,40.1606854422086,53800.9962731239,50.7012001019824,46.4505235707734,297.169739929685,0.599496535445728,13364634,14.48,"Senegal",2,5,4
"169",1967765157.42481,21.0198997189388,8.08082738173176,882.73032323046,8.75567378497741,88.3688362446777,2831.94568130147,7.49618711834747,88504.6666666667,0.05,"Seychelles",2,5.06932989876732,20
"170",8615190293.56019,16.673437104527,39.4379891539139,11729.8478974976,65.7826898860724,34.7794423117762,110.980333842122,0.149420540508718,5909322.33333333,3.77,"Sierra Leone",2,6,3
"171",385496394616.69,23.0666669209798,5.8262287914781,54351.9447126463,0.494730055724961,97.6673990064524,4993.91775690212,8.77766511601236,5190952.33333333,3.39,"Singapore",2,3,5
"174",57877462933.8381,32.1666653951009,6.96666669845581,21493.9619022264,18.3642359645935,66.0479040674857,3497.78666601322,7.39541739179379,2052861.66666667,53.95,"Slovenia",1,7,9
"175",1038568707.01727,15.9864965104699,36.1552363869535,4535.95730163994,63.5646281231113,33.8450370521419,1459.67595727566,0.366083531314916,537662.333333333,0.16,"Solomon Islands",2,7,29
"176",-27938972262.7642,10.9726878008857,39.0681918496105,21689.4647873717,76.8856688602277,26.9774525189284,153.909779044883,0.0620703602640921,9807338,0.26,"Somalia",2,6,3
"177",631752991691.55,24.1333332061767,4.80000003178914,452879.364676414,16.9750540417931,87.2911615212164,2746.92057652364,9.18981122299667,51559388.3333333,10.24,"South Africa",2,7,7
"179",1512383397049.07,21.9000002543132,4.13333320617676,352244.233664091,14.9661447578361,75.8363694538899,2705.31010314535,5.75512454243803,46697549.6666667,10.18,"Spain",1,7,9
"180",187629480157.054,24.8000005086263,32.2333335876465,29801.9652739355,60.7872665093263,46.4133076872654,517.060994803653,0.742134179844621,20270666.6666667,2.64,"Sri Lanka",2,6,5
"185",146587766137.68,16.8251159868621,37.038732090972,489781.071161636,63.1333048158633,31.1419719994402,363.134881559133,0.325490334428469,36915166,1.68,"Sudan",1,2,25
"186",7863281907.33883,20.9321856939943,15.6643016229861,2596.14425572493,24.517475084183,72.3150330388587,1913.32795329402,4.65340871900375,523371.666666667,8.58,"Suriname",1,5,13
"187",9292068755.56392,18.4456053083007,27.307605770343,3428.79943195667,41.5490903096862,58.4114273560587,223.960517752226,0.904751494509957,1212433.33333333,4.02,"Swaziland",2,2,10
"188",409050504069.384,19.9333330790202,1.79999995231628,68660.9424428831,47.4783725941843,33.2121980759825,5324.0182189656,5.3215353335992,9448904.33333333,13.03,"Sweden",2,7,14
"189",430694541295.29,21.0666662851969,3.06666660308838,54776.3823688077,21.7315205237922,50.9446319237003,3250.90671716023,4.7916382002953,7911389.33333333,9.93,"Switzerland",1,7,5
"190",71313929793.6916,28.0752536641005,12.6188249459082,75107.0030493779,1.88184148797975,98.6177883329474,923.10203164618,2.64745652302282,20400175,0.67,"Syrian Arab Republic",0,5.63873214911723,3
