"","GDP..PPP..constant.2011.international...","Employment.in.industry....of.total.employment.","Employment.in.agriculture....of.total.employment.","Total.greenhouse.gas.emissions..kt.of.CO2.equivalent.","Renewable.energy.consumption....of.total.final.energy.consumption.","Fossil.fuel.energy.consumption....of.total.","Energy.use..kg.of.oil.equivalent.per.capita.","CO2.emissions..metric.tons.per.capita.","Population..total","ProtectedAreas","CountryNames","Paris_Agreement_Code","Polityxconst","UNmentions"
"64",104213948025.284,17.8307976430671,26.7850839861192,184036.414013917,93.9733081967308,4.98495671415473,481.606067310247,0.084691740735017,89870573.6666667,18.4,"Ethiopia",1,3,10
"66",6596959710.12287,18.5807789789288,16.6595354501039,2211.77940608014,20.5644107378101,76.6952204970298,1053.38512044912,1.83962966818169,867145.666666667,0.97,"Fiji",2,4,12
"67",214042290939.745,23.0666662851969,3.96666661898295,76523.0343476055,35.920177302219,46.3407294414249,6539.77508276488,10.3576043679497,5388531.66666667,14.07,"Finland",2,7,15
"68",2423864855314.01,22.0666669209798,2.83333333333333,511312.109945186,12.0253841975248,48.9795840699427,3907.55213852807,5.18988865697207,65343359.3333333,25.73,"France",2,6,11
"70",26849629950.3948,15.091071832949,33.4151314555266,34316.3137705249,68.7224808436714,41.3641925545758,1383.942411451,2.87147824608062,1577574.33333333,12.28,"Gabon",2,4,19
"72",28309631900.3273,16.8409203373778,28.7549750492162,14134.0577876196,33.4508688890204,70.6437447578803,892.909223707104,1.70481334158881,3875333.33333333,6.45,"Georgia",1,6,1
"73",3411247561532.54,28.4333330790202,1.46666665871938,943087.909568532,11.5222510765969,80.185476320404,3890.59112558053,9.13946374299222,81333475.3333333,38.46,"Germany",2,7,18
"74",84664156920.5802,17.9360540860498,32.7840471684385,107114.400845265,53.2046739787244,50.7836722258702,319.423265945967,0.42291816413893,24930267.3333333,7.79,"Ghana",2,6,13
"76",298394436797.161,18.0999997456868,11.9666665395101,104363.694452544,12.0470064936807,90.438497708629,2432.17673661946,7.33897437360236,11090417,8.56,"Greece",2,7,7
"78",1171505099.17032,21.1060846950463,14.6419151268181,704.842599095272,14.9501529079479,78.8160272610727,1139.85457878884,2.4893593800805,105074.333333333,0.05,"Grenada",2,6.41468433628436,41
"80",101967800126.579,18.2759873239,33.6909305561563,30931.0836338369,66.4074680444903,31.4858619042834,712.235918484807,0.785789161006984,15050100,15.72,"Guatemala",1,7,17
"81",13405073058.7591,5.66666666666667,74.6333363850911,100812.473433687,81.3745466471836,24.4258626693003,-423.453515806353,0.234681871223844,11319174.6666667,20.34,"Guinea",2,4,7
"82",2288554990.87468,14.3791869618625,40.4303693341104,7570.75638522041,72.2053827555517,28.0837125647157,669.778041718573,0.146744418425945,1674108.33333333,10.38,"Guinea-Bissau",1,6,10
"83",4588431072.38016,17.6298336008424,30.472637296925,6040.18665224434,42.3403269093083,50.9937775107694,1118.51625186909,2.42362963793245,755885,5.28,"Guyana",2,6,47
"84",15725276475.9497,12.2575696510713,44.9658212106169,8692.02016542594,80.3736139496969,17.9352608739881,387.648737147994,0.218875903209989,10144445,0.06,"Haiti",1,0,5
"85",33840172480.3434,19.0999997456868,37.4333330790202,20071.6716081433,53.4778830155973,51.600017023045,644.864232738024,1.1330528873205,7620473.33333333,7.78,"Honduras",2,5,3
"87",222826460583.511,30.5666662851969,4.80000003178914,64541.3927161909,9.62712609885129,73.0685850370197,2481.86286405062,4.76641099314268,9964037.33333333,22.55,"Hungary",2,7,7
"88",12587295168.4195,18.3333333333333,5.40000009536743,5478.69872087623,77.1693331212724,10.7018194639358,17603.6121295476,5.96553047648609,319257,2.32,"Iceland",2,3.70572432339696,16
"89",5770154007268.51,24.7895182228151,56.901332907626,2867732.50421947,39.8234270193123,71.7765138577762,577.373636741402,1.49162547045144,1247340051.33333,3.13,"India",2,7,8
"90",2173102600827.85,20.5666662851969,36.5999997456868,762964.651013877,37.7846055724756,66.1469483193585,853.182083839983,2.17795382878242,244819744.333333,6.01,"Indonesia",2,7,15
"92",430456152624.619,23.6603803646935,10.5672685280121,151296.766091693,1.51979012957872,97.3784799310729,1277.51060105928,4.16002044504153,31897845.3333333,0.38,"Iraq",0,6,2
"93",207385788682.197,19.2666670481364,4.96666669845581,63097.4540783405,6.43387867907144,88.0188729665264,2970.53840776371,8.14665253257673,4574615.33333333,3.48,"Ireland",2,7,12
"95",235904825432.431,19.2333335876465,1.40000001589457,81606.9277296647,8.73453500571447,96.4980144226465,3030.11755727402,9.16169309928277,7766633.33333333,8.62,"Israel",2,7,0
"96",2105897809729.97,28.3666661580403,3.53333330154419,484904.390190559,11.0953045882561,84.5614337045391,2795.88633510933,6.58199216921268,59398861,13.32,"Italy",2,7,5
"97",22722627803.8451,15.8333333333333,18.6333338419596,15036.5013243729,14.078987148717,82.5340442010245,1034.09573242377,2.75437692279556,2699489,1.4,"Jamaica",1,7,23
"98",4420807335919.81,26.8201282777331,0.247403805603233,1408684.68518174,4.53502584225265,88.3719472562462,3684.44748987434,9.36916906848622,127816255.333333,2.09,"Japan",2,7,5
"99",69832996983.8974,18.1333338419597,1.90000001589457,26409.8058970884,3.01880831174482,96.8872027687475,1085.76588485356,3.33627899914423,6757578,2.13,"Jordan",2,3,0
"100",363879996960.927,19.0333334604899,26.7666664123535,354778.004595034,1.37417478873657,98.8651127998962,4435.01190337359,15.1116237661918,16556535.3333333,3.29,"Kazakhstan",1,2,4
"101",108197140013.266,16.3764319681609,39.2063643847683,53497.0634486658,77.3207966183223,18.4078254829522,483.575686043808,0.306993526047077,41430415,10.57,"Kenya",1,7,11
"102",173747850.275479,16.5556666253743,22.0809988000257,56.6516611296588,17.930658312458,85.084184020429,19.7408368250394,0.595871497895853,104643.333333333,11.81,"Kiribati",2,6.14046328703298,72
