"","Time","female.leaders","female.labor.partic.rate","female.part.time.of.female","female.part.time.of.total.part","female.male.labor.partic.rate","female.vul.employ","female.paid.employ","female.parliament.seat","pop.growth","new.born","GDP.pc","gov.educational.expend","female.2edu.labor","male.2edu.labor","female.3edu.labor","male.3edu.labor","female.labor.of.total","female.unemploy","male.unemploy","total.unemploy"
"1",1990,19.5585526802008,52.29999924,52.9923240877564,86.9946393506532,69.08850904,9.58265864736793,88.40000153,6.1,1.479978016,237175,35812.93032,3.21485463846174,37.3497480678394,48.6566365540289,34.5690082950849,25.0223275734512,41.36492228,3.51090375982812,6.10759532964996,4.83378921003731
"2",1991,25.4869248883295,52,45.4912410738632,79.9155477232631,69.51871374,10.581951049891,87.5,25.8741110463331,1.274577578,238564,35225.03906,5.30952088707112,29.0367645010092,33.4740209831052,34.5997971231545,28.3374191262788,41.53935552,9.199999809,9.899999619,9.600000381
"3",1992,21.8594157410794,52,32.5015436651808,79.3170650589688,69.98653818,11.1043822731305,87.30000305,16.1157013389534,1.213390775,244444,34939.05961,4.93795697943409,51.9953852152598,52.8385855178116,12.4982224845899,9.3188607671785,41.76427134,10,11.39999962,10.80000019
"4",1993,25.5143869160619,51.79999924,22.8186815654757,71.4935035360392,70.18969796,12.4655901146653,87.09999847,11.8939776568016,0.978336681,252495,36003.66678,0.840884284254274,50.7031039620884,49.1460295176716,20.5713497050738,16.2316342555445,41.82850674,10.10000038,11.5,10.89999962
"5",1994,23.950287559862,52.70000076,32.7395779650293,70.2738278993734,71.40921217,11.6085565063242,87.59999847,26.7807442945335,1.058508842,259247,37063.07598,7.41805866705876,37.012687609315,43.5973489409755,50.0503189024704,42.3400428794075,42.30326725,9.300000191,10,9.699999809
"6",1995,25.5606792914301,53.79999924,30.666870732289,73.7251966967138,72.70270167,12.0549116854592,88,16.4526444288311,1.208019812,262280,38038.46873,3.19413181223637,17.70000076,15.89999962,45.40000153,50.79999924,42.71923589,8,8.800000191,8.5
"7",1996,27.4293865744469,53.79999924,8.19901309081405,70.8865098646706,72.99864514,9.51802561942292,88.19999695,14.1749061793942,1.313819299,260763,39024.56625,5.938689685502,53.6002254173992,52.9483642450446,24.3274979817504,13.2307468981543,42.85307402,8.199999809,8.699999809,8.5
"8",1997,31.51304633,53.70000076,27.3326698184729,70.0996547072266,73.36065984,8.56696127266806,87.90000153,15.5,1.11872569,255774,40113.71721,7.8235417609237,26.5,38.90000153,29.79999924,22.89999962,42.96508535,8.199999809,8.699999809,8.5
"9",1998,31.36402376,53.79999924,36.6445432027293,90.2113710592391,73.79972306,10.722376707601,88.59999847,15.5,1.042235716,249051,41459.69426,4.98680581968719,28.20000076,41.29999924,29.89999962,23.20000076,43.09842901,7.400000095,7.900000095,7.699999809
"10",1999,31.30753159,53.90000153,47.3484143642661,90.6822043994478,74.34482969,8.42832595892254,89,22.4,1.142505187,243188,43041.05497,0.166747240610975,41.6566978694332,37.4426718587838,18.8817393123693,22.2373343425013,43.30511512,6.699999809,7.099999905,6.900000095
