"","Country.code","economic","capacity","ecosystems","exposure","food","governance","habitat","health","infrastructure","sensitivity","social","water"
"92","KGZ","0.511796171",1.9447706,3.256159695,1.89092472,1.99858899,1.56635526,1.70719017,0.98632533,1.28386121,2.169941635,1.877988275,1.70482314
"93","LAO","0.33547059",3.342104935,2.793072785,2.130475085,2.95641125,1.70957029,2.45549104,2.535945785,1.999262055,2.65768605,1.490912395,2.85331359
"94","LVA","0.697613382",2.25176325,1.945171225,2.06909059,1.415313825,3.12127054,2.431165435,0.712193695,2.200329445,2.207554065,3.014077995,2.55100349
"95","LBN","0.485883029",2.342544855,2.951521835,2.020132575,2.33655747,1.668806815,1.907576585,1.41131904,1.92752216,2.350000645,2.501652355,2.54944603
"96","LSO","0.389597512",3.9085573,2.889863985,2.331031705,3.10616492,2.329092475,2.72817099,2.942824315,2.98795394,2.563218145,0.519303275,2.39930828
"97","LBR","0.326754082",4.29956249,3.47310654,2.41195358,3.774219695,1.579337855,3.59949353,3.43640721,1.93224595,2.978666515,1.16707428,2.464348565
"98","LBY","0.288108541",2.993038135,3.529408615,1.945202475,2.514379965,1.48438399,1.88765703,0.70534012,0.291244915,2.509364965,1.962825535,3.85578361
"99","LIE","",2.488560565,1.789211115,1.89737662,2.126911225,4.003726555,1.49528742,0.35510904,0,4.133927065,3.39648556,4.72650427696951
"100","LTU","0.738090187",2.127783945,2.115325635,2.023241245,1.18253349,3.18621719,2.68990869,0.486051765,1.408632545,1.85335979,2.827080165,2.105006695
"101","LUX","0.623303966",1.603356415,0.955042715,2.04784743,1.328923655,4.22976038,1.0461618,0.2760799,1.7775996,1.64696992,2.75410561,3.0267611
"102","MDG","0.385495849",4.30968902,3.65095714,2.0971989,3.940842145,2.02711791,2.68976052,3.381190385,1.893324785,2.709831515,0.743222355,2.47513883
"103","MWI","0.419400837",3.229175935,2.683607665,2.706659455,3.391585525,2.18004611,2.41212065,3.30402134,2.354810645,2.700184535,0.595341545,2.63663269
"104","MYS","0.7203831",1.89924199,1.658924965,2.32100048,3.293850045,2.860964345,2.04185921,0.934421965,0.94815193,1.426036785,1.79324644,1.73775405
"105","MDV","0.626869979",1.8111025,2.65131572,3.715877545,3.946849425,2.29714178,2.6389641,1.727659,3.20952591,2.582162785,1.672222335,0.334483705
"106","MLI","0.330693074",4.279676135,3.133156725,2.53044625,3.861592325,2.00238938,2.91696316,3.39503181,2.452583815,2.670705655,1.234718415,2.761953485
"107","MLT","0.532583268",1.834205565,1.373487385,2.455542995,1.16011885,3.69089925,2.040273465,0.317395345,2.896938975,2.394059105,2.260990305,2.939684875
"108","MHL","0.538387317",2.592783425,4.359317435,3.166176815,3.200902675,2.463198215,3.19265067,2.29585699,4.067706015,3.879386745,1.159362345,0.3215952
"109","MRT","0.317129488",4.17893511,3.0774499,2.579740795,3.891241115,1.80652227,2.324636295,3.44804345,2.95307933,3.126581265,1.050427455,4.227090695
"110","MUS","0.719076429",2.172084425,2.914447015,2.47905917,3.189935325,3.257215485,1.42400071,1.195496085,1.88747337,2.37983034,1.777880405,2.042108485
"111","MEX","0.607217494",1.98091869,2.57063321,2.4146308,2.25199781,2.186251325,1.865801735,1.1319486,0.81644125,0.92226958,1.34493862,1.998815535
"112","FSM","0.433258653",3.0377149,4.450573125,3.22955231,3.55342068,2.661741615,3.38455371,2.527923535,3.88657518,3.893312885,0.764546265,0.59542324
"113","MDA","0.528235875",2.50040739,3.13871608,1.79793821,2.077908815,2.130448235,1.90260911,0.9231217,1.655732615,2.57785503,2.199545055,3.134556845
"114","MCO","",1.393348475,2.446542205,2.31450933,2.1916435,3.46866534,1.11605931,0.142043615,2.268699595,3.75,3.633747335,1.110225e-15
"115","MKD","0.57331052",2.16181276,2.352751045,2.46708788,1.74437476,2.32802932,1.70563165,0.994498615,1.39734627,1.790416825,1.817464355,2.38573719
"116","MNG","0.54811109",3.09287253,2.021971755,2.33277376,1.988203255,2.354731605,2.823799185,1.576356895,1.17283119,1.280653405,2.07833654,3.191575635
"117","MNE","0.603732536",2.030107135,2.54459364,1.884066,2.73654826,2.51232368,1.931847165,0.6871135,0.95699961,3.42906436,2.3781986,3.013447595
"118","MAR","0.482734696",2.654011135,2.67930222,2.383353215,2.71571465,2.21362471,1.290624775,1.812782565,1.723129795,1.593031975,1.26052853,3.039238635
"119","MOZ","0.394597786",3.504164825,2.655145405,2.438841555,3.612874405,2.14559888,2.693204775,3.461640975,1.958252905,2.59511215,0.6241224,2.695118595
"120","MMR","0.285066249",3.304259,3.30926193,2.509281725,2.669075785,1.00456744,2.41172592,2.553444495,2.1468958,1.8602461,0.468009585,2.333196
"121","NAM","0.554401712",3.23666686,2.48501929,2.780427475,3.392827835,2.855534805,2.79516496,2.43677568,2.22501165,2.598856,0.904345795,3.52962875
"122","NRU","",2.81139218,4.82787187,3.346812325,4.34267534,2.16149299195725,2.40291208,0.50662419,4.5404812,4.166666665,0.210537795,0
"123","NPL","0.544643277",3.16518303,3.11621182,2.802402225,2.946949375,1.570309755,2.283487125,3.276380395,1.3494143,2.01716207,1.07419451,2.38862069
"124","NLD","0.684750117",1.087700495,1.053927945,2.18835325,1.350990675,4.15903183,1.673227865,0.18685,2.288309525,1.724749325,3.761789195,2.840131905
"125","NZL","0.885243647",1.591133035,2.084249265,2.01943174,1.309106805,4.32357154,2.315466775,0.141075895,1.181470145,1.47983758,4.505009,0.91464559
"126","NIC","0.431441737",2.355617905,3.005200975,2.508147245,2.59151555,1.970544715,2.78673495,2.134030785,1.63844036,1.875243765,0.96612903,1.32209521
"127","NER","0.30326394",4.23659207,2.491751425,2.64102802,3.94194457,1.82037541,3.341271845,3.923044725,2.563007005,2.876001045,1.10163118,2.86105955
"128","NGA","0.382892715",3.58577625,2.437532585,2.37879024,3.851491045,1.25441655,2.809337035,2.411612925,1.175474045,1.71545851,0.86329725,2.67460238
"129","NOR","0.831948853",0.9354066,1.859708705,1.836603835,1.168160155,4.192464145,2.038540925,0.15943492,0.56109135,1.288205325,4.298561505,0.888094645
"130","OMN","0.629575261",2.611603775,2.64400046,2.85798691,3.378033705,3.001678305,2.067503955,0.832167665,0.79440553,2.01349337,1.746372315,3.365736315
"131","PAK","0.504267072",2.546391715,3.204962685,2.456761305,2.59607771,1.3092769,1.69867599,2.429847085,1.099464895,2.26128907,1.16191276,3.49985581
"132","PLW","0.478160054",2.063122985,2.689433865,3.01507246,2.551625725,2.686336995,3.46508771,1.625101035,3.8862436,3.828317475,2.815205495,0.27716063
"133","PAN","0.589723221",1.98792503,1.95978732,2.428285285,2.71886949,2.456510665,2.709826725,1.426669215,1.727068615,1.676420365,1.57256605,1.64304
"134","PNG","0.466059968",4.39532529,3.79120607,2.639307865,4.300078905,1.64210983,3.623382385,2.99424923,2.249824645,3.35769276,0.51296321,2.674564685
"135","PRY","0.478785545",2.23724948,2.14938442,2.409426335,2.39550488,1.733089435,2.58637147,1.3896949,0.80403098,1.610899405,1.22256488,2.01573302
"136","PER","0.611880168",2.70301173,2.49011162,2.40476714,2.32308522,2.12927416,3.21397185,1.694439465,1.02548083,1.359442805,1.422933615,2.18735436
"137","PHL","0.438740713",2.61683805,2.686247005,2.215451465,2.89799271,1.83981852,2.84477823,1.23185482,1.82893119,1.768089435,1.38655607,1.71095394
"138","POL","0.586774064",1.79395152,1.518802385,1.699606665,0.830935435,3.17381067,1.69757037,0.51053744,1.135662,0.82448084,3.068734195,2.247726325
"139","PRT","0.677204302",1.606006175,2.32119669,2.218842865,2.30458423,3.44206973,1.34788093,0.3318912,1.522090875,1.654198535,2.84222568,2.681215265
