"","Country.code","economic","capacity","ecosystems","exposure","food","governance","habitat","health","infrastructure","sensitivity","social","water"
"32","CPV","",3.042720805,2.81086563,2.7551701,3.315811375,2.98352842,2.076322905,2.274797135,2.439296835,2.67480603,1.489544825,2.320502705
"33","CAF","0.217892345",3.639333055,2.603927655,2.66450305,3.47972506,1.099002885,3.703072415,3.649493625,2.5,3.01703675,0.553711695,1.987246835
"34","TCD","0.218023742",4.24218349,3.125365495,2.703953785,4.03153921,1.156615895,3.42198238,3.302059235,2.5,2.930970465,0.755230385,3.047923
"35","CHL","0.65737945",1.815434215,2.117120555,1.867683875,0.89888474,3.68635286,2.15035653,1.19144066,1.383630605,1.091699465,2.157863075,1.80820201
"36","CHN","0.499554742",1.834439125,2.64995366,2.092500155,1.498465135,2.085542905,1.44808153,1.33845369,0.954489645,1.004369935,2.22272507,1.973174765
"37","COL","0.594193601",2.052721575,2.63841786,2.561320185,1.96437033,1.9887677,2.66732687,1.39051609,0.768272825,1.073863235,1.42173527,1.946906005
"38","COM","0.381993918",3.28713783,3.36827178,2.74420189,4.340781675,1.579491005,2.488384235,2.87178144,2.87233895,3.070199285,0.58978386,1.12780879
"39","COG","0.241521971",4.06884667,3.162698365,2.59018451,3.88746937,1.45951831,3.47946403,2.620021565,1.220150005,2.485374315,1.03446673,3.289032665
"40","COD","0.259984746",4.451141165,2.98662998,2.542479035,4.31030765,0.86812994,3.428144355,3.387991755,1.3719131,2.76202066,0.890882465,2.971103325
"41","CRI","0.444767687",1.82928593,2.37682293,2.36746041,2.33956171,3.02453253,2.533218855,1.18118832,0.992673095,1.451035405,1.569305545,1.872098585
"42","CIV","0.310770481",3.5211503,2.65482555,2.145197895,3.821023885,1.34941413,2.866888385,2.719422525,1.428596015,1.95466319,0.79472992,1.989365755
"43","HRV","0.504457759",1.50235084,1.894386995,2.34269009,1.622560095,2.80660842,2.127261705,0.50973708,1.43231648,1.969898075,2.79814692,2.816448785
"44","CUB","",2.08733928,3.57521008,2.43464744,2.43132163,2.104723295,2.69479874,0.24857899,1.903485595,2.34966531,1.741091295,1.860540545
"45","CYP","0.654256842",1.59438318,1.571159295,1.617961145,1.95063025,3.4842566,1.18825128,0.594848,1.991178775,2.217577395,1.96031823,1.42151267
"46","CZE","0.566147292",1.330211215,1.013897845,2.000406105,1.34302115,3.34020399,1.67394453,0.15682587,1.009740955,1.13928636,3.0799602,2.27013816
"47","DNK","0.844723116",1.298879215,1.102637545,2.04407527,1.065620945,4.301547625,2.29875691,0.11836968,2.211703515,1.01961892,4.45602594,0.96913475
"48","DJI","0.367985847",3.36662992,3.32858913,2.684237705,3.51871651,2.040525615,3.40571003,3.074151715,1.897350405,2.900433695,0.698420195,2.319501815
"49","DMA","0.582006138",2.11799344,2.37350465,2.453698885,3.304966145,3.20723195,1.71186434,1.15211412,1.438868465,2.816759195,2.489301605,1.264073815
"50","DOM","0.48265147",2.397920955,2.57327756,2.47958733,2.610915795,2.11045246,2.691017275,1.379667395,1.859190305,1.91260788,1.517323705,2.466164
"51","ECU","0.433680243",2.22613673,2.97500478,2.759557635,2.2876836,1.615060225,3.15860816,1.449476195,1.06141373,1.501918885,1.400831785,2.04304005
"52","EGY","0.391338027",1.527370495,2.292818495,2.38745193,2.30695236,1.929401825,1.307157405,1.264496665,1.63751723,2.401517935,1.765674365,3.823738565
