"","Time","female.leaders","female.labor.partic.rate","female.part.time.of.female","female.part.time.of.total.part","female.male.labor.partic.rate","female.vul.employ","female.paid.employ","female.parliament.seat","pop.growth","new.born","GDP.pc","gov.educational.expend","female.2edu.labor","male.2edu.labor","female.3edu.labor","male.3edu.labor","female.labor.of.total","female.unemploy","male.unemploy","total.unemploy"
"1",1990,25.3373229501961,52.29999924,38.4899691403153,76.4984977254639,69.08850904,11.9967630321098,88.40000153,6.1,1.479978016,237175,35812.93032,0.0211380698385071,44.769517636317,46.7129514979636,35.1950583288398,26.0914442091053,41.36492228,1.47145318341166,2.53243135538869,1.71006243637931
"2",1991,32.8891799741904,52,29.2232041693688,71.295110200349,69.51871374,8.99093023093999,87.5,32.6679802421304,1.274577578,238564,35225.03906,7.44229442254373,25.9273500250759,24.8336506050318,32.4850334191012,20.8075275974965,41.53935552,9.199999809,9.899999619,9.600000381
"3",1992,29.2936716918629,52,27.0588345333587,61.8432240691524,69.98653818,8.92421741289585,87.30000305,21.1719657558449,1.213390775,244444,34939.05961,7.01179598731447,43.8235942657462,44.6979268692808,32.8847681810436,18.6275135521058,41.76427134,10,11.39999962,10.80000019
"4",1993,23.9198286575492,51.79999924,18.3348291271181,64.1028478185461,70.18969796,12.0836722803996,87.09999847,6.8834432983142,0.978336681,252495,36003.66678,5.19300407813597,56.8756226140398,51.9077567272663,33.2135399673566,30.3993127378984,41.82850674,10.10000038,11.5,10.89999962
"5",1994,17.5589221288149,52.70000076,32.2637559786058,67.5615842454898,71.40921217,8.44805265382918,87.59999847,23.5618239456116,1.058508842,259247,37063.07598,4.82117606209945,45.6354337798239,46.5103654129758,25.3084630792857,19.8707296699899,42.30326725,9.300000191,10,9.699999809
"6",1995,37.1175175237992,53.79999924,37.8453459615671,73.6910219815333,72.70270167,10.86002625105,88,25.8086100938777,1.208019812,262280,38038.46873,5.18431188223529,17.70000076,15.89999962,45.40000153,50.79999924,42.71923589,8,8.800000191,8.5
"7",1996,27.9228365706402,53.79999924,50.1761023116512,81.3060030693588,72.99864514,8.47822968443816,88.19999695,30.6824142137326,1.313819299,260763,39024.56625,2.95924249460498,48.9913770870569,49.4996198053197,33.329712830007,31.5851330675154,42.85307402,8.199999809,8.699999809,8.5
"8",1997,31.51304633,53.70000076,35.8058621418477,76.7219363660142,73.36065984,11.0846027391309,87.90000153,15.5,1.11872569,255774,40113.71721,6.27675825579758,26.5,38.90000153,29.79999924,22.89999962,42.96508535,8.199999809,8.699999809,8.5
"9",1998,31.36402376,53.79999924,36.3070301033752,69.0868489315041,73.79972306,9.19938068275542,88.59999847,15.5,1.042235716,249051,41459.69426,7.59774514246012,28.20000076,41.29999924,29.89999962,23.20000076,43.09842901,7.400000095,7.900000095,7.699999809
"10",1999,31.30753159,53.90000153,30.2328260282607,76.0135033209909,74.34482969,7.1487213313245,89,22.4,1.142505187,243188,43041.05497,4.77409620132339,39.875671677707,41.8293110274815,33.8681862618934,34.9304373639307,43.30511512,6.699999809,7.099999905,6.900000095
"11",2000,32.92588066,54.70000076,47.4169007206304,77.4090603919705,75.55248565,7.53551360222159,89.30000305,23,1.192272323,240023,44176.31173,4.133999825,37.5,47.40000153,31.70000076,24.39999962,43.66754568,6.099999905,6.5,6.300000191
