"","Time","female.leaders","female.labor.partic.rate","female.part.time.of.female","female.part.time.of.total.part","female.male.labor.partic.rate","female.vul.employ","female.paid.employ","female.parliament.seat","pop.growth","new.born","GDP.pc","gov.educational.expend","female.2edu.labor","male.2edu.labor","female.3edu.labor","male.3edu.labor","female.labor.of.total","female.unemploy","male.unemploy","total.unemploy"
"1",1990,32.6704555631156,52.29999924,26.6577411005807,73.8662997412319,69.08850904,7.41378253627674,88.40000153,6.1,1.479978016,237175,35812.93032,4.25144832406203,27.3187124089016,19.1028520040642,27.7863841869524,25.8974126695631,41.36492228,3.76338662234946,1.4674063551323,2.47252808153828
"2",1991,33.1543492633156,52,14.4170743007177,76.7496393774231,69.51871374,8.29121892496835,87.5,14.0084013229223,1.274577578,238564,35225.03906,4.6860776115114,38.9779665564651,33.3475184305707,32.4132708220381,29.6489984518196,41.53935552,9.199999809,9.899999619,9.600000381
"3",1992,20.8621438967272,52,24.5523018071938,71.0609704042288,69.98653818,9.49737797391419,87.30000305,12.2686631959266,1.213390775,244444,34939.05961,5.23208995995382,55.3978138230703,54.7328094098388,27.6158077335663,29.8748116414369,41.76427134,10,11.39999962,10.80000019
"4",1993,19.8898347351177,51.79999924,16.8398172082552,72.8928481920269,70.18969796,11.4444292551476,87.09999847,7.7428079730091,0.978336681,252495,36003.66678,5.32691683564052,51.7218586931705,48.3963487576191,38.7772561817156,31.1490979287912,41.82850674,10.10000038,11.5,10.89999962
"5",1994,32.0897454211911,52.70000076,37.1690342083879,78.5462211699116,71.40921217,10.2322111581261,87.59999847,29.0627221043708,1.058508842,259247,37063.07598,5.03444463254398,40.2116671254513,37.545105525615,37.395815640528,28.3980453591723,42.30326725,9.300000191,10,9.699999809
"6",1995,22.7570791168991,53.79999924,39.5034381470239,74.3719728543247,72.70270167,10.5591384724268,88,24.1189879010609,1.208019812,262280,38038.46873,4.85036299508063,17.70000076,15.89999962,45.40000153,50.79999924,42.71923589,8,8.800000191,8.5
"7",1996,20.5142505476701,53.79999924,31.6808718793094,76.0670004550916,72.99864514,9.15820776159448,88.19999695,24.446612599273,1.313819299,260763,39024.56625,5.62771852001658,37.4245392974771,38.7338136082727,32.4576131355529,25.2380656003315,42.85307402,8.199999809,8.699999809,8.5
"8",1997,31.51304633,53.70000076,30.2032377284103,79.8177641147504,73.36065984,11.1636388518003,87.90000153,15.5,1.11872569,255774,40113.71721,5.41131984049969,26.5,38.90000153,29.79999924,22.89999962,42.96508535,8.199999809,8.699999809,8.5
"9",1998,31.36402376,53.79999924,34.1482117014768,82.5476449530683,73.79972306,10.8378560466937,88.59999847,15.5,1.042235716,249051,41459.69426,5.62230437594328,28.20000076,41.29999924,29.89999962,23.20000076,43.09842901,7.400000095,7.900000095,7.699999809
"10",1999,31.30753159,53.90000153,53.515395096077,83.6330846306748,74.34482969,7.26047084393964,89,22.4,1.142505187,243188,43041.05497,4.45300033929432,41.9538866392386,47.886269163431,34.5964492511854,27.6023422095493,43.30511512,6.699999809,7.099999905,6.900000095
"11",2000,32.92588066,54.70000076,29.6362290209645,70.684813750419,75.55248565,7.98800905147195,89.30000305,23,1.192272323,240023,44176.31173,4.133999825,37.5,47.40000153,31.70000076,24.39999962,43.66754568,6.099999905,6.5,6.300000191
"12",2001,32.13602498,55.09999847,38.90000153,72.69999695,76.52777566,10.5839203702654,89.80000305,20.3115089865768,1.348358342,240130,44425.57111,5.17435812332055,27.60000038,41.5,33.5,25.5,43.89988122,6.5,7,6.800000191
"13",2002,32.42965014,55.29999924,38.90000153,72.30000305,76.91237561,9.46660241503153,89.59999847,25.3,1.220563785,242809,45579.19408,4.70222402774104,28.39999962,41.20000076,35.09999847,27.70000076,44.05156669,6.199999809,6.599999905,6.400000095
"14",2003,33.02969064,55.90000153,39.20000076,72.40000153,78.07262949,9.94039121679924,90,25.3,1.233996663,247107,46402.68426,5.21868780984853,30.29999924,41.59999847,34.40000153,28,44.45435547,5.900000095,5.900000095,5.900000095
"15",2004,34.08010898,55.70000076,38.20000076,72,77.79329881,8.68366965998351,90.19999695,24.7,1.159352162,251543,47771.04777,4.80616159042832,29.29999924,41.5,37.29999924,29,44.35353145,5.5,5.300000191,5.400000095
"16",2005,35.04590479,57,38.59999847,72.40000153,78.94737176,10.661480082691,90.19999695,24.7,1.319789554,255043,48656.47502,4.165269852,29.79999924,40.09999847,37.70000076,30.10000038,44.66263689,5.199999809,4.900000095,5
"17",2006,35.12024619,57.59999847,38.09999847,72,79.66804432,8.89194891606412,90.69999695,24.7,1.475227945,257348,49374.05554,4.053100109,29.60000038,41.20000076,39.79999924,30.39999962,44.81490939,4.900000095,4.699999809,4.800000191
"18",2007,35.34231315,58.20000076,37.59999847,71.5,80.05502504,9.99770325302372,91.09999847,26.7,0.624678435,258827,50910.3423,3.950299978,33.70000076,43.5,36.79999924,29.29999924,44.8886339,4.800000191,4.099999905,4.400000095
"19",2008,36.72108074,58.70000076,37.59999847,71.69999695,80.6318658,9.42190450054956,91.09999847,26.7,2.00402174,259771,51749.89514,4.081319809,33.5,43.29999924,38.5,29.89999962,45.0202327,4.5,3.900000095,4.199999809
"20",2009,24.0139258615263,58.79999924,38.09999847,70.80000305,81.21546685,8.24860492526018,91.19999695,27.3,2.06104513,260669,51616.69451,4.481470108,38.6016491350445,47.989808078371,45.5531345901223,41.1652897128312,45.12547212,5.400000095,5.800000191,5.599999905
"21",2010,38.703724112296,58.79999924,38.5,70.40000153,81.10344722,6.82535939844832,91,24.7,1.555489589,261882,51845.65486,4.909699917,34.8705872425492,27.5555318016911,34.3106720052922,34.7168844567243,45.09683886,5.300000191,5.099999905,5.199999809
"22",2011,24.8747901167124,59,38.29999924,70.80000305,81.49171099,4.95721076017548,91.19999695,24.7,1.389527316,263426,52346.90249,4.453299999,46.0400691455083,47.5764611946269,30.2903547816651,27.3125877295918,45.24748403,5.300000191,4.900000095,5.099999905
"23",2012,28.8314608569,58.79999924,38.09999847,71.09999847,81.78024755,7.22589611168374,91.5,24.7,1.722895219,265145,53321.87934,4.178619862,30.0605279722694,36.6296210564339,53.3138689741427,44.2286556261287,45.30507337,5.300000191,5.099999905,5.199999809
"24",2013,21.3085859497901,58.79999924,38,70.30000305,81.89414587,4.99286195855232,91.90000153,26,1.69747275,267034,53703.57473,4.188459873,55.1376168011572,56.0661770691691,27.3894357130293,33.5676962493527,45.38381602,5.599999905,5.699999809,5.699999809
"25",2014,21.6198484530694,58.70000076,38.20000076,69.90000153,81.86890274,10.8269285934705,88.6698769355374,26,1.488744923,-74125.0655606892,54232.65836,4.8999457747498,44.0150209994957,44.3294066578733,21.0720666645056,24.8476761817359,45.38881977,5.900000095,6,6
"26",2015,22.1890164273899,51.924026683783,27.6931387991315,69.2512626138221,69.5029628844689,7.50661259423484,90.0913242118761,26.7,1.342305215,271167,54717.70671,3.51151045155752,39.3702169257682,38.0669876769702,27.2065450040369,26.0640702866144,38.0212820834981,2.01994168016387,-0.11754122562035,0.494551055503863
"27",1990,32.2145339300988,36.59999847,28.79999924,79.80000305,59.90179933,16.5,83,8.5,0.298235706,115525,33164.43038,3.18381879419142,30.9660982060867,21.8522367773718,27.3419434096868,26.552665513371,39.03662468,9.96025997199147,7.79318149084251,8.74329353097633
"28",1991,25.3918773185284,37.90000153,30.5,80.09999847,61.72638532,14.89999962,84.69999695,24.9790287059159,0.371593166,116323,33647.09612,4.13272463714702,43.4605494256772,44.6780351200609,26.4427653017902,21.4152846215352,39.67513306,10.60000038,4.599999905,7
"29",1992,21.8529642049289,38.70000076,30.39999962,83.5,63.3387917,15.89999962,83.59999847,25.5168757318135,0.405713496,117934,34023.79748,3.75976335053135,35.70000076,34.79999924,30,23.39999962,40.34165807,9.399999619,4.800000191,6.699999809
"30",1993,30.0936294,39.40000153,30.20000076,82.40000153,65.12396946,15.19999981,84,15.6901925437024,0.390638518,119735,33565.15687,4.16776732956824,34.59999847,35.20000076,31.89999962,24.5,40.98384432,10.80000019,6.199999809,8.100000381
"31",1994,30.33674795,40,29.89999962,81.80000305,65.46645008,14.80000019,84.69999695,12.3529410581322,0.308197074,120831,34541.67425,4.48761753847049,35.29999924,36.29999924,32.40000153,25.10000038,41.10791023,12.39999962,7.599999905,9.600000381
"32",1995,31.50513745,40.40000153,29.79999924,82.09999847,66.12111708,15.69999981,83.59999847,33.9186454671569,0.209436838,120628,35291.41864,4.02687881653275,36.5,37.90000153,32.29999924,25.39999962,41.35297038,12.19999981,7.300000191,9.300000191
"33",1996,29.00233928,40.40000153,30.20000076,82.19999695,66.33826029,15.30000019,84.19999695,13.2180383125627,0.195393176,118813,35783.67915,4.39422213829576,36.59999847,38.79999924,34.40000153,26.5,41.35279745,12.39999962,7.400000095,9.5
"34",1997,30.16771196,40.90000153,30.5,82.5,67.49175339,14.60000038,84.90000153,12.7,0.241991885,115699,37021.75214,4.58136069962761,36.59999847,38.90000153,35.90000153,27,41.86662631,11.60000038,7.099999905,9
"35",1998,30.87887723,41.5,31.20000076,82.40000153,68.59504132,14.19999981,85,12.7,0.213527651,112064,37672.57048,4.26624820904964,36,36.79999924,35.59999847,26.70000076,42.23148016,11.69999981,7.599999905,9.300000191
"36",1999,31.63243682,43.09999847,33.40000153,79,70.42483323,13.69999981,84,23.3,0.229189103,109019,38925.54384,5.58312699106678,36.09999847,34.70000076,35.59999847,28.20000076,42.92831582,10.10000038,7.400000095,8.600000381
"37",2000,32.07098458,43.59999847,33.29999924,79.5,71.00976774,11.5,86.19999695,23.3,0.242517956,107343,40242.31367,6.02141045732643,36.5,35.5,36.5,28.39999962,43.09019588,8.300000191,5.300000191,6.599999905
"38",2001,32.88331534,41.70000076,30.70000076,82.09999847,69.154231,11,87,23.3,0.343951158,107352,40429.56817,5.607540131,36,36.79999924,37.79999924,29.29999924,42.33339512,6.900000095,5.699999809,6.199999809
"39",2002,31.80299724,43,30.10000038,81.59999847,70.9570975,11.39999962,86.5,23.3,0.448268895,108729,40965.35016,5.664130211,36.79999924,37.59999847,38.09999847,29.20000076,43.04311624,8.600000381,6.599999905,7.5
"40",2003,29.89632625,43.5,31,81.09999847,72.2591353,10.69999981,87.30000305,35.3,0.418641508,110805,41110.17658,5.582029819,38.20000076,38,37,29.60000038,43.44144343,8.899999619,7.699999809,8.199999809
"41",2004,29.87530874,44.5,30.70000076,80.80000305,73.43234508,9.399999619,88.30000305,34.7,0.432788248,112603,42420.46099,5.510900021,36.90000153,38.29999924,39.09999847,31.20000076,43.82801259,9.5,7.5,8.399999619
"42",2005,31.80997143,45.59999847,30.20000076,80,74.38825292,10,87.69999695,34.7,0.550055708,113426,43071.27065,5.477190018,38,39.70000076,40.09999847,31.5,44.13648079,9.5,7.599999905,8.399999619
"43",2006,31.46934758,45.79999924,30.39999962,81.80000305,75.32894706,9.399999619,88.19999695,34.7,0.659558215,113046,43857.59931,5.56551981,37.59999847,39.70000076,41,32.20000076,44.48830545,9.300000191,7.300000191,8.199999809
"44",2007,33.84399154,46.59999847,29.29999924,80.69999695,76.26841185,9.300000191,88.5,35.3,0.734330831,111734,45015.86684,5.567450047,37.40000153,40.79999924,41.5,32.40000153,44.7507579,8.5,6.699999809,7.5
"45",2008,32.67763557,46.90000153,29.60000038,81.30000305,77.26524042,8.699999809,89.19999695,35.3,0.789976845,109905,44995.3215,6.00466013,38.90000153,42.09999847,41.40000153,32.5,45.02997507,7.599999905,6.5,7
"46",2009,33.98566888,46.90000153,28.39999962,80.59999847,77.90697829,9,88.69999695,38,0.804599573,108185,43614.89205,6.101309776,38.70000076,42,42.90000153,33.5,45.27169005,8.100000381,7.699999809,7.900000095
"47",2010,34.10193515,47.59999847,28.89999962,80.40000153,78.54785425,8.399999619,89.19999695,39.3,0.913639392,107025,44382.87977,6.096010208,36.79999924,40.29999924,44.29999924,34.40000153,45.41986482,8.5,8.100000381,8.300000191
"48",2011,29.91664197,46.79999924,30,79.90000153,78.78787548,8.600000381,89.5,38,1.386849113,106545,44558.1095,6.046000004,37.90000153,41.09999847,44.29999924,34.29999924,45.3870563,7.199999809,7,7.099999905
"49",2012,28.4111564690313,46.90000153,29.89999962,79.80000305,78.9562295,8.399999619,89.5,38,0.726031655,106578,44305.95815,5.84143291239004,37.20000076,41,45.70000076,34.90000153,45.45244751,7.400000095,7.599999905,7.5
"50",2013,28.1686255553181,47.5,29.60000038,80.80000305,80.10118147,8.399999619,89.30000305,38,0.489184301,106955,44091.09703,6.2397303174107,38,41.79999924,45.40000153,35,45.73660163,8.100000381,8.600000381,8.399999619
"51",2014,30.9699426947677,47.59999847,28.5,79.09999847,80.26981296,8.5,89.09999847,39.3,0.431837338,1488310.67790681,44469.83286,4.35208624939009,36.40000153,41.20000076,47.5,36.29999924,45.78468092,8.399999619,8.5,8.5
"52",2015,24.9831931448131,61.8891776514384,52.2649769518896,76.4116125031573,84.4959121651665,12.255997275444,86.2229162594766,39.3,0.484152118,107718,44863.08818,2.16687262328514,51.6345567939725,65.5798943408949,36.6644322348124,32.8154230991869,38.0819461616472,6.87815711497028,6.00478439270291,6.07884251646056
"53",1990,20.3419716713417,44.59999847,21.7260402023271,62.0904288229832,52.22482164,29.89999962,68,5.3,0.762001611,81391,33788.86225,6.88278975971806,36.8398629140778,31.9268252796807,25.370796269761,22.7371751362894,40.87834074,9.27641562283337,8.58825490492765,9.36989266715656
"54",1991,18.0630869969574,48.79999924,39.3418942595356,74.6390184733665,56.94282494,31.7104552731664,63.7277752155309,4.06015708586308,0.998418103,82997,34604.52068,4.70363281270601,57.70000076,67.5,7.099999905,7.099999905,41.0564226,3.5,3.299999952,3.400000095
"55",1992,8.53335049710617,53.09999847,41.9834833709339,60.8239753577749,61.74418427,38.29999924,60,5.46588530449003,1.100552287,87158,34942.29275,3.65041400000279,43.5941183304412,49.5320258621927,29.3953630130771,32.9380100900722,41.62928089,3.799999952,3.5,3.599999905
"56",1993,22.0365561102601,53,22.7605408792874,56.0611956763767,61.91588895,38,60.40000153,15.6588331840054,0.824627941,92306,34837.90123,4.48593391719121,62.6480841111615,62.2598630128123,17.6828606312187,23.3119191816379,41.96046657,4.599999905,4.099999905,4.300000191
"57",1994,20.8567967294644,53.59999847,39.2210108900973,72.668787502537,62.91079858,21.2141330643872,73.631933691625,11.3913739605345,0.384869547,96181,35537.71162,4.19425526094843,59.70000076,67,7.699999809,8.399999619,42.90697211,3.900000095,3.200000048,3.5
"58",1995,23.7255233781288,54.20000076,25.9888661597904,57.202722502862,63.91509294,37.79999924,60.20000076,17.7384569723211,0.153106261,97228,36430.03258,4.61936662407163,58.20000076,69.19999695,8.100000381,8.899999619,42.88187406,4.400000095,3.200000048,3.700000048
"59",1996,12.6097583324568,52.20000076,32.9731575170952,64.2039646546215,62.9674304,34.59999847,63.29999924,28.5713253886195,0.135019834,94809,37253.4058,5.3926010468008,60.90000153,70.59999847,8.300000191,8.899999619,42.96889834,4.400000095,3.799999952,4.099999905
"60",1997,26.3793798713059,53.20000076,43.9597654813734,75.5845768377817,63.94231095,18.3052171065219,78.630817374207,6.6,0.113316608,89625,38031.73002,4.55004853672854,63.70000076,71.59999847,8.300000191,9.300000191,43.08238581,4.599999905,3.900000095,4.199999809
"61",1998,30.6316451823861,53.59999847,31.5540134242522,64.5607462987626,64.73429529,28.4767522545451,66.5213426141624,6.6,0.109728368,83073,39342.4535,5.830599785,64.59999847,72.19999695,8.600000381,9.100000381,43.16942885,4.5,3.900000095,4.199999809
