"","Time","female.leaders","female.labor.partic.rate","female.part.time.of.female","female.part.time.of.total.part","female.male.labor.partic.rate","female.vul.employ","female.paid.employ","female.parliament.seat","pop.growth","new.born","GDP.pc","gov.educational.expend","female.2edu.labor","male.2edu.labor","female.3edu.labor","male.3edu.labor","female.labor.of.total","female.unemploy","male.unemploy","total.unemploy"
"1",1990,25.0536793480603,52.29999924,26.826034528507,68.2704744094246,69.08850904,9.21969426309563,88.40000153,6.1,1.479978016,237175,35812.93032,5.46278102776608,40.0304698707011,45.069807270947,36.2083077695204,23.2362495799953,41.36492228,10.3833225666756,9.21360641991133,9.55619853502365
"2",1991,23.7402163100148,52,30.8252360215643,78.0951348151544,69.51871374,11.4264475399043,87.5,28.0225229869893,1.274577578,238564,35225.03906,3.62366678321606,34.642260970059,35.6547069083941,18.7618860397032,23.5669629768048,41.53935552,9.199999809,9.899999619,9.600000381
"3",1992,37.9408191877807,52,38.3916342916615,79.857269077763,69.98653818,7.63732583783692,87.30000305,15.1901028496634,1.213390775,244444,34939.05961,9.76392497257694,53.9170747039788,56.3271805281376,29.4290675818558,29.8484067599788,41.76427134,10,11.39999962,10.80000019
"4",1993,18.1404799371777,51.79999924,45.7837875295372,83.3940719809553,70.18969796,10.9102882375437,87.09999847,20.3248881786851,0.978336681,252495,36003.66678,5.19779367080239,47.204163478321,53.444516490952,28.9426629960173,27.7898535213133,41.82850674,10.10000038,11.5,10.89999962
"5",1994,34.3071281753406,52.70000076,35.3782484476859,73.3426804379566,71.40921217,11.9471923074027,87.59999847,8.61003606384145,1.058508842,259247,37063.07598,4.9779872529725,45.3402676450346,46.1370407897792,47.0585623412767,36.0400300537297,42.30326725,9.300000191,10,9.699999809
"6",1995,33.2121712822463,53.79999924,31.7299591436235,66.2992004530352,72.70270167,11.189533627476,88,21.7084842937009,1.208019812,262280,38038.46873,5.48951942439586,17.70000076,15.89999962,45.40000153,50.79999924,42.71923589,8,8.800000191,8.5
"7",1996,31.0839185764906,53.79999924,29.0548716517451,83.8860186014857,72.99864514,7.97635893011299,88.19999695,22.5337582479681,1.313819299,260763,39024.56625,7.99394467323921,58.481044205477,61.8867989273352,19.6557077158074,13.8074297294444,42.85307402,8.199999809,8.699999809,8.5
"8",1997,31.51304633,53.70000076,42.3656096629597,76.5337542732105,73.36065984,11.2562491225885,87.90000153,15.5,1.11872569,255774,40113.71721,5.82864023467907,26.5,38.90000153,29.79999924,22.89999962,42.96508535,8.199999809,8.699999809,8.5
"9",1998,31.36402376,53.79999924,39.3200730729862,76.0037470650784,73.79972306,13.1287864376106,88.59999847,15.5,1.042235716,249051,41459.69426,1.17777721012754,28.20000076,41.29999924,29.89999962,23.20000076,43.09842901,7.400000095,7.900000095,7.699999809
"10",1999,31.30753159,53.90000153,33.7291478242272,73.4722205484646,74.34482969,7.93048979070863,89,22.4,1.142505187,243188,43041.05497,4.60417443374808,51.3626894727906,47.0802587937855,28.5358321836969,27.1650577651876,43.30511512,6.699999809,7.099999905,6.900000095
