Country,Time,"Adult literacy rate, population 15+ years, both sexes (%)","Adult literacy rate, population 15+ years, female (%)","Adult literacy rate, population 15+ years, male (%)",Barro-Lee: Percentage of female population age 15+ with no education,"Elderly literacy rate, population 65+ years, both sexes (%)","Elderly literacy rate, population 65+ years, male (%)","Elderly literacy rate, population 65+ years, female (%)",Population growth (annual %),"Literacy rate, population 25-64 years, both sexes (%)","Literacy rate, population 25-64 years, female (%)","Literacy rate, population 25-64 years, male (%)","Population, age 0, female","Population, age 0, male","Population, age 0, total",UIS: Mean years of schooling of the population age 25+. Female,UIS: Mean years of schooling of the population age 25+. Male,UIS: Mean years of schooling of the population age 25+. Total,UIS: Percentage of population age 25+ with a completed bachelor's or equivalent degree (ISCED 6). Female,UIS: Percentage of population age 25+ with a completed bachelor's or equivalent degree (ISCED 6). Male,UIS: Percentage of population age 25+ with a completed bachelor's or equivalent degree (ISCED 6). Total,UIS: Percentage of population age 25+ with at least a completed bachelor's or equivalent degree (ISCED 6 or higher). Male,UIS: Percentage of population age 25+ with at least a completed bachelor's or equivalent degree (ISCED 6 or higher). Total,UIS: Percentage of population age 25+ with at least a completed master's degree or equivalent (ISCED 7 or higher). Female,GDP per capita (constant 2005 US$),Government expenditure in educational institutions as % of GDP (%),"Labor force with primary education, female (% of female labor force)","Labor force with primary education, male (% of male labor force)","Labor force with secondary education, female (% of female labor force)","Labor force with secondary education, male (% of male labor force)","Labor force with tertiary education, female (% of female labor force)","Labor force with tertiary education, male (% of male labor force)","Labor force, female (% of total labor force)","Labor force, total","Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)","Unemployment, total (% of total labor force)"
Australia,1990,,,,1.26,,,,1.479978016,,,,115497,121678,237175,,,,,,,,,,35812.93032,,,,,,,,41.36492228,8502257,,,
Australia,1991,,,,,,,,1.274577578,,,,116165,122399,238564,,,,,,,,,,35225.03906,,,,,,,,41.53935552,8552930,9.199999809,9.899999619,9.600000381
Australia,1992,,,,,,,,1.213390775,,,,119001,125443,244444,,,,,,,,,,34939.05961,,,,,,,,41.76427134,8627063,10,11.39999962,10.80000019
Australia,1993,,,,,,,,0.978336681,,,,122889,129606,252495,,,,,,,,,,36003.66678,,,,,,,,41.82850674,8674510,10.10000038,11.5,10.89999962
Australia,1994,,,,,,,,1.058508842,,,,126163,133084,259247,,,,,,,,,,37063.07598,,,,,,,,42.30326725,8829084,9.300000191,10,9.699999809
Australia,1995,,,,1.55,,,,1.208019812,,,,127658,134622,262280,,,,,,,,,,38038.46873,,36.90000153,33.29999924,17.70000076,15.89999962,45.40000153,50.79999924,42.71923589,9048336,8,8.800000191,8.5
Australia,1996,,,,,,,,1.313819299,,,,126978,133785,260763,,,,,,,,,,39024.56625,,,,,,,,42.85307402,9149682,8.199999809,8.699999809,8.5
Australia,1997,,,,,,,,1.11872569,,,,124639,131135,255774,,,,,,,,,,40113.71721,,43.79999924,38.09999847,26.5,38.90000153,29.79999924,22.89999962,42.96508535,9224753,8.199999809,8.699999809,8.5
Australia,1998,,,,,,,,1.042235716,,,,121463,127588,249051,,,,,,,,,,41459.69426,,41.90000153,35.5,28.20000076,41.29999924,29.89999962,23.20000076,43.09842901,9325797,7.400000095,7.900000095,7.699999809
Australia,1999,,,,,,,,1.142505187,,,,118683,124505,243188,,,,,,,,,,43041.05497,,,,,,,,43.30511512,9421693,6.699999809,7.099999905,6.900000095
Australia,2000,,,,1.21,,,,1.192272323,,,,117170,122853,240023,,,,,,,,,,44176.31173,4.133999825,30.79999924,28.29999924,37.5,47.40000153,31.70000076,24.39999962,43.66754568,9612292,6.099999905,6.5,6.300000191
Australia,2001,,,,,,,,1.348358342,,,,117193,122937,240130,,,,,,,,,,44425.57111,,38.90000153,33,27.60000038,41.5,33.5,25.5,43.89988122,9785457,6.5,7,6.800000191
Australia,2002,,,,,,,,1.220563785,,,,118422,124387,242809,,,,,,,,,,45579.19408,,36.5,31.20000076,28.39999962,41.20000076,35.09999847,27.70000076,44.05156669,9932691,6.199999809,6.599999905,6.400000095
Australia,2003,,,,,,,,1.233996663,,,,120416,126691,247107,,,,,,,,,,46402.68426,,35.40000153,30.39999962,30.29999924,41.59999847,34.40000153,28,44.45435547,10098745,5.900000095,5.900000095,5.900000095
Australia,2004,,,,,,,,1.159352162,,,,122491,129052,251543,11.8,12,11.9,32.5626,29.04625,30.8231,,,,47771.04777,,33.40000153,29.5,29.29999924,41.5,37.29999924,29,44.35353145,10226994,5.5,5.300000191,5.400000095
Australia,2005,,,,1.04,,,,1.319789554,,,,124147,130896,255043,12,12.2,12.1,33.12775,30.22648,31.69099,,,,48656.47502,4.165269852,32.5,29.79999924,29.79999924,40.09999847,37.70000076,30.10000038,44.66263689,10551287,5.199999809,4.900000095,5
Australia,2006,,,,,,,,1.475227945,,,,125266,132082,257348,12.2,12.3,12.3,35.34354,30.63132,33.01255,,,,49374.05554,4.053100109,30.60000038,28.39999962,29.60000038,41.20000076,39.79999924,30.39999962,44.81490939,10804141,4.900000095,4.699999809,4.800000191
Australia,2007,,,,,,,,0.624678435,,,,126020,132807,258827,12.3,12.4,12.3,36.05375,31.39719,33.74059,,,,50910.3423,3.950299978,29.5,27.29999924,33.70000076,43.5,36.79999924,29.29999924,44.8886339,10980900,4.800000191,4.099999905,4.400000095
Australia,2008,,,,,,,,2.00402174,,,,126534,133237,259771,12.6,12.5,12.6,38.91982,32.66409,35.81874,,,,51749.89514,4.081319809,28,26.70000076,33.5,43.29999924,38.5,29.89999962,45.0202327,11274322,4.5,3.900000095,4.199999809
Australia,2009,,,,,,,,2.06104513,,,,127022,133647,260669,,,,39.76361,33.82644,36.80347,,,,51616.69451,4.481470108,,,,,,,45.12547212,11508294,5.400000095,5.800000191,5.599999905
Australia,2010,,,,0.8,,,,1.555489589,,,,127643,134239,261882,,,,40.85512,34.12827,37.48809,,,,51845.65486,4.909699917,,,,,,,45.09683886,11705683,5.300000191,5.099999905,5.199999809
Australia,2011,,,,,,,,1.389527316,,,,128399,135027,263426,13.1,12.9,13,42.06328,34.5902,38.3591,,,,52346.90249,4.453299999,,,,,,,45.24748403,11873332,5.300000191,4.900000095,5.099999905
Australia,2012,,,,,,,,1.722895219,,,,129221,135924,265145,13.3,13.1,13.2,44.94715,37.55371,41.28002,,,,53321.87934,4.178619862,,,,,,,45.30507337,12037760,5.300000191,5.099999905,5.199999809
Australia,2013,,,,,,,,1.69747275,,,,130115,136919,267034,,,,23.36578,18.56723,20.98663,24.5,26.7,5.6,53703.57473,4.188459873,,,,,,,45.38381602,12241399,5.599999905,5.699999809,5.699999809
Australia,2014,,,,,,,,1.488744923,,,,,137982,,,,,21.68817,17.53379,19.62161,23,24.9,5.2,54232.65836,,,,,,,,45.38881977,12416897,5.900000095,6,6
Australia,2015,,,,,,,,1.342305215,,,,132084,139083,271167,,,,,,,,,,54717.70671,,,,,,,,,,,,
Belgium,1990,,,,4.83,,,,0.298235706,,,,56126,59399,115525,,,,,,,,,,33164.43038,,,,,,,,39.03662468,3953454,,,
Belgium,1991,,,,,,,,0.371593166,,,,56588,59735,116323,,,,,,,,,,33647.09612,,,,,,,,39.67513306,4045287,10.60000038,4.599999905,7
Belgium,1992,,,,,,,,0.405713496,,,,57486,60448,117934,,,,,,,,,,34023.79748,,34.29999924,41.70000076,35.70000076,34.79999924,30,23.39999962,40.34165807,4079049,9.399999619,4.800000191,6.699999809
Belgium,1993,,,,,,,,0.390638518,,,,58493,61242,119735,,,,,,,,,,33565.15687,,33.40000153,40.29999924,34.59999847,35.20000076,31.89999962,24.5,40.98384432,4102458,10.80000019,6.199999809,8.100000381
Belgium,1994,,,,,,,,0.308197074,,,,59144,61687,120831,,,,,,,,,,34541.67425,,32.29999924,38.59999847,35.29999924,36.29999924,32.40000153,25.10000038,41.10791023,4164128,12.39999962,7.599999905,9.600000381
Belgium,1995,,,,4.78,,,,0.209436838,,,,59123,61505,120628,,,,,,,,,,35291.41864,,31.20000076,36.70000076,36.5,37.90000153,32.29999924,25.39999962,41.35297038,4190040,12.19999981,7.300000191,9.300000191
Belgium,1996,,,,,,,,0.195393176,,,,58274,60539,118813,,,,,,,,,,35783.67915,,29,34.70000076,36.59999847,38.79999924,34.40000153,26.5,41.35279745,4200688,12.39999962,7.400000095,9.5
Belgium,1997,,,,,,,,0.241991885,,,,56757,58942,115699,,,,,,,,,,37021.75214,,27.5,34.09999847,36.59999847,38.90000153,35.90000153,27,41.86662631,4215434,11.60000038,7.099999905,9
Belgium,1998,,,,,,,,0.213527651,,,,54956,57108,112064,,,,,,,,,,37672.57048,,28.39999962,36.5,36,36.79999924,35.59999847,26.70000076,42.23148016,4255328,11.69999981,7.599999905,9.300000191
Belgium,1999,,,,,,,,0.229189103,,,,53421,55598,109019,,,,,,,,,,38925.54384,,28.29999924,37.09999847,36.09999847,34.70000076,35.59999847,28.20000076,42.92831582,4363013,10.10000038,7.400000095,8.600000381
Belgium,2000,,,,4.4,,,,0.242517956,,,,52542,54801,107343,,,,,,,,,,40242.31367,,27,36.09999847,36.5,35.5,36.5,28.39999962,43.09019588,4411565,8.300000191,5.300000191,6.599999905
Belgium,2001,,,,,,,,0.343951158,,,,52470,54882,107352,,,,,,,,,,40429.56817,5.607540131,26.20000076,33.90000153,36,36.79999924,37.79999924,29.29999924,42.33339512,4315600,6.900000095,5.699999809,6.199999809
Belgium,2002,,,,,,,,0.448268895,,,,53051,55678,108729,,,,,,,,,,40965.35016,5.664130211,25.10000038,33.20000076,36.79999924,37.59999847,38.09999847,29.20000076,43.04311624,4400476,8.600000381,6.599999905,7.5
Belgium,2003,,,,,,,,0.418641508,,,,53976,56829,110805,,,,,,,,,,41110.17658,5.582029819,24.70000076,32.40000153,38.20000076,38,37,29.60000038,43.44144343,4432210,8.899999619,7.699999809,8.199999809
Belgium,2004,,,,,,,,0.432788248,,,,54789,57814,112603,,,,,,,,,,42420.46099,5.510900021,24,30.5,36.90000153,38.29999924,39.09999847,31.20000076,43.82801259,4516819,9.5,7.5,8.399999619
Belgium,2005,,,,4.95,,,,0.550055708,,,,55165,58261,113426,,,,,,,,,,43071.27065,5.477190018,19.5,25.5,38,39.70000076,40.09999847,31.5,44.13648079,4625618,9.5,7.599999905,8.399999619
Belgium,2006,,,,,,,,0.659558215,,,,55002,58044,113046,10.7,11.1,10.9,26.38459,27.144,26.75015,,,,43857.59931,5.56551981,19,25.20000076,37.59999847,39.70000076,41,32.20000076,44.48830545,4640923,9.300000191,7.300000191,8.199999809
Belgium,2007,,,,,,,,0.734330831,,,,54425,57309,111734,,,,,,,,,,45015.86684,5.567450047,18.70000076,23.70000076,37.40000153,40.79999924,41.5,32.40000153,44.7507579,4731464,8.5,6.699999809,7.5
Belgium,2008,,,,,,,,0.789976845,,,,53615,56290,109905,10.7,11.2,11,27.07222,27.76242,27.40498,,,,44995.3215,6.00466013,17.60000038,22.70000076,38.90000153,42.09999847,41.40000153,32.5,45.02997507,4772632,7.599999905,6.5,7
Belgium,2009,,,,,,,,0.804599573,,,,52850,55335,108185,10.9,11.3,11.1,28.23868,28.65638,28.44017,,,,43614.89205,6.101309776,16.39999962,21.89999962,38.70000076,42,42.90000153,33.5,45.27169005,4787091,8.100000381,7.699999809,7.900000095
Belgium,2010,,,,5.06,,,,0.913639392,,,,52328,54697,107025,11,11.4,11.2,30.05078,29.94849,30.00144,,,,44382.87977,6.096010208,16.79999924,22.39999962,36.79999924,40.29999924,44.29999924,34.40000153,45.41986482,4887192,8.5,8.100000381,8.300000191
Belgium,2011,,,,,,,,1.386849113,,,,52099,54446,106545,11.1,11.4,11.2,29.90479,29.70051,29.80615,,,,44558.1095,6.046000004,15.69999981,21.60000038,37.90000153,41.09999847,44.29999924,34.29999924,45.3870563,4870816,7.199999809,7,7.099999905
Belgium,2012,,,,,,,,0.726031655,,,,52091,54487,106578,11.1,11.5,11.3,30.72151,30.09285,30.41778,,,,44305.95815,,15,21,37.20000076,41,45.70000076,34.90000153,45.45244751,4905243,7.400000095,7.599999905,7.5
Belgium,2013,,,,,,,,0.489184301,,,,52232,54723,106955,11.2,11.5,11.3,20.38668,15.17808,17.86906,29.8,30.2,10.3,44091.09703,,14.80000019,20.39999962,38,41.79999924,45.40000153,35,45.73660163,4955976,8.100000381,8.600000381,8.399999619
Belgium,2014,,,,,,,,0.431837338,,,,,54993,,11.2,11.6,11.4,20.28444,15.07935,17.76728,31,31.3,11.2,44469.83286,,16.10000038,22.5,36.40000153,41.20000076,47.5,36.29999924,45.78468092,4975258,8.399999619,8.5,8.5
Belgium,2015,,,,,,,,0.484152118,,,,52534,55184,107718,,,,,,,,,,44863.08818,,,,,,,,,,,,
Austria,1990,,,,0.68,,,,0.762001611,,,,39243,42148,81391,,,,,,,,,,33788.86225,,,,,,,,40.87834074,3545731,,,
Austria,1991,,,,,,,,0.998418103,,,,40035,42962,82997,,,,,,,,,,34604.52068,,35.09999847,25.39999962,57.70000076,67.5,7.099999905,7.099999905,41.0564226,3599639,3.5,3.299999952,3.400000095
Austria,1992,,,,,,,,1.100552287,,,,42175,44983,87158,,,,,,,,,,34942.29275,,,,,,,,41.62928089,3690352,3.799999952,3.5,3.599999905
Austria,1993,,,,,,,,0.824627941,,,,44851,47455,92306,,,,,,,,,,34837.90123,,,,,,,,41.96046657,3722318,4.599999905,4.099999905,4.300000191
Austria,1994,,,,,,,,0.384869547,,,,46896,49285,96181,,,,,,,,,,35537.71162,,32.59999847,24.60000038,59.70000076,67,7.699999809,8.399999619,42.90697211,3837677,3.900000095,3.200000048,3.5
Austria,1995,,,,1.05,,,,0.153106261,,,,47503,49725,97228,,,,,,,,,,36430.03258,,33.70000076,21.89999962,58.20000076,69.19999695,8.100000381,8.899999619,42.88187406,3858052,4.400000095,3.200000048,3.700000048
Austria,1996,,,,,,,,0.135019834,,,,46348,48461,94809,,,,,,,,,,37253.4058,,30.70000076,20.5,60.90000153,70.59999847,8.300000191,8.899999619,42.96889834,3818413,4.400000095,3.799999952,4.099999905
Austria,1997,,,,,,,,0.113316608,,,,43790,45835,89625,,,,,,,,,,38031.73002,,28,19.10000038,63.70000076,71.59999847,8.300000191,9.300000191,43.08238581,3830150,4.599999905,3.900000095,4.199999809
Austria,1998,,,,,,,,0.109728368,,,,40530,42543,83073,,,,,,,,,,39342.4535,5.830599785,26.79999924,18.70000076,64.59999847,72.19999695,8.600000381,9.100000381,43.16942885,3833025,4.5,3.900000095,4.199999809
Austria,1999,,,,,,,,0.194563153,,,,37598,39600,77198,,,,,,,,,,40675.62595,5.835859776,26,18.5,61.29999924,64.80000305,12.69999981,16.60000038,43.22120885,3858955,3.799999952,3.599999905,3.700000048
Austria,2000,,,,1.19,,,,0.240466652,,,,35726,37729,73455,,,,,,,,,,41944.76233,5.250830173,24.79999924,18,61.70000076,65.5,13.5,16.5,43.32660907,3864115,3.799999952,3.299999952,3.5
Austria,2001,,,,,,,,0.382799394,,,,35149,37169,72318,,,,,,,,,,42348.81142,5.269070148,23.39999962,17.10000038,62.59999847,66,14,16.79999924,43.66812586,3895995,3.799999952,3.400000095,3.599999905
Austria,2002,,,,,,,,0.491980464,,,,35598,37651,73249,,,,,,,,,,42838.76864,5.167459965,22.89999962,16.79999924,59.40000153,65.59999847,17.70000076,17.60000038,44.09926873,3969669,3.900000095,4.099999905,4
Austria,2003,,,,,,,,0.487133895,,,,36684,38778,75462,,,,,,,,,,42952.94798,5.102379799,23,16.10000038,59.90000153,66.69999695,17.10000038,17.20000076,44.38761964,4015070,4.199999809,4.400000095,4.300000191
Austria,2004,,,,,,,,0.620413127,,,,37801,39929,77730,,,,,,,,,,43842.29552,4.925640106,20.20000076,16.10000038,63.5,62.59999847,16.39999962,21.29999924,44.8927075,3992497,5.300000191,4.5,4.900000095
Austria,2005,,,,1.19,,,,0.681267248,,,,38511,40659,79170,,,,,,,,,,44476.77969,4.885369778,19.89999962,16.20000076,63.40000153,64.30000305,16.70000076,19.39999962,45.12246521,4071442,5.5,4.900000095,5.199999809
Austria,2006,,,,,,,,0.494797775,,,,38713,40861,79574,,,,,,,,,,45740.23904,4.748300076,20.10000038,15.30000019,63.90000153,65.40000153,16,19.29999924,45.35353477,4150596,5.199999809,4.300000191,4.699999809
Austria,2007,,,,,,,,0.324146535,,,,38562,40692,79254,,,,,,,,,,47243.34045,4.676169872,21.29999924,15.80000019,63.20000076,65,15.5,19.20000076,45.25430048,4240397,5,3.900000095,4.400000095
Austria,2008,,,,,,,,0.313041438,,,,38172,40275,78447,,,,,,,,,,47824.37489,4.767849922,19.5,15,64.5,65.59999847,16,19.29999924,45.66181253,4275599,4.099999905,3.599999905,3.799999952
Austria,2009,,,,,,,,0.26195319,,,,37746,39821,77567,,,,,,,,,,45887.13062,5.172420025,18.60000038,14.5,63.90000153,65.40000153,17.39999962,20.10000038,46.06666131,4314617,4.5,5,4.800000191
Austria,2010,,,,1.17,,,,0.2403943,,,,37430,39486,76916,,,,,,,,,,46659.84082,5.102719784,17.60000038,14.19999981,64.80000305,65.5,17.60000038,20.29999924,46.07067614,4314610,4.199999809,4.599999905,4.400000095
Austria,2011,,,,,,,,0.337080842,,,,37231,39280,76511,,,,,,,,,,47808.62349,5.026450157,17.39999962,14.60000038,64.80000305,65,17.79999924,20.5,46.00524484,4351706,4.199999809,4,4.099999905
Austria,2012,,,,,,,,0.455937472,,,,37096,39142,76238,,,,,,,,,,47951.55678,5.134590149,16.79999924,13.69999981,64.40000153,65.40000153,18.79999924,20.89999962,46.1817868,4392277,4.300000191,4.300000191,4.300000191
Austria,2013,,,,,,,,0.584103986,,,,37041,39092,76133,,,,,,,,,,47825.43384,5.256669998,16.10000038,13.39999962,63.90000153,65.09999847,20,21.5,46.00856726,4429888,4.900000095,4.900000095,4.900000095
Austria,2014,,,,,,,,0.730867277,,,,,39135,,,,,1.73315,1.51515,1.62806,13.3,12.3,9.6,47644.98568,,16.5,13,51.70000076,55.59999847,31.79999924,31.29999924,46.00499154,4466361,5,4.900000095,5
Austria,2015,,,,,,,,0.810525812,,,,37202,39272,76474,,,,,,,,,,47667.80561,,,,,,,,,,,,
Canada,1990,,,,0.95,,,,1.493593109,,,,185977,194244,380221,,,,,,,,,,36487.94814,,,,,,,,44.08151071,14720716,,,
Canada,1991,,,,,,,,1.360506174,,,,188731,197353,386084,,,,,,,,,,35229.74845,,,,,,,,44.43235848,14817926,9.699999809,10.80000019,10.30000019
Canada,1992,,,,,,,,1.2274176,,,,192248,201480,393728,,,,,,,,,,35107.25071,,,,,,,,44.66762203,14778266,10.19999981,12,11.19999981
Canada,1993,,,,,,,,1.094331921,,,,195222,205143,400365,,,,,,,,,,35647.19015,,,,,,,,44.73836218,14878086,10.69999981,12,11.39999962
Canada,1994,,,,,,,,0.961244717,,,,195874,206322,402196,,,,,,,,,,36892.64905,,19.60000038,25.60000038,33.29999924,29.10000038,47.09999847,45.40000153,44.73428667,14990723,9.800000191,10.89999962,10.39999962
Canada,1995,,,,1.03,,,,0.828159179,,,,193079,203724,396803,,,,,,,,,,37568.111,,18.79999924,24.20000076,32.79999924,29.39999962,48.40000153,46.40000153,44.93973748,15049654,9.100000381,9.800000191,9.5
Canada,1996,,,,,,,,1.077164681,,,,186071,196504,382575,,,,,,,,,,37764.36812,,17.5,23.5,33.09999847,29.60000038,49.5,46.90000153,45.07675063,15188475,9.199999809,9.899999619,9.600000381
Canada,1997,,,,,,,,1.057015395,,,,175623,185513,361136,,,,,,,,,,38966.54534,,17.10000038,22,31.70000076,28.79999924,51.09999847,49.29999924,45.16335161,15439793,8.899999619,9.300000191,9.100000381
Canada,1998,,,,,,,,0.865613663,,,,164034,173222,337256,,,,,,,,,,40130.25203,,16.70000076,21.39999962,40.79999924,43.59999847,42.5,34.90000153,45.40945752,15702447,8,8.5,8.300000191
Canada,1999,,,,,,,,0.827369318,,,,154521,163097,317618,,,,,,,,,,41854.5335,5.14786005,16.10000038,21.10000038,40.59999847,43.59999847,43.29999924,35.29999924,45.50277031,15991000,7.300000191,7.800000191,7.599999905
Canada,2000,,,,1,,,,0.882998577,,,,149320,157546,306866,,,,,,,,,,43636.70668,5.038740158,15.60000038,20,40.59999847,44.29999924,43.79999924,35.70000076,45.73589824,16241240,6.699999809,6.900000095,6.800000191
Canada,2001,,,,,,,,1.009521666,,,,149381,157585,306966,,,,37.92784,34.36816,44.34036,,,,43963.36631,4.579329967,14.80000019,19.10000038,39.70000076,43.79999924,45.5,37.09999847,45.88390722,16497891,6.800000191,7.5,7.199999809
Canada,2002,,,,,,,,0.897131277,,,,153812,162253,316065,,,,,,,,,,44882.20692,4.654900074,14.30000019,18.79999924,39.59999847,43.59999847,46.20000076,37.59999847,46.09220851,16936203,7.099999905,8.199999809,7.699999809
Canada,2003,,,,,,,,0.996232739,,,,160747,169580,330327,,,,,,,,,,45238.17706,,13.69999981,17.89999962,39.29999924,43.5,47,38.70000076,46.35732221,17345152,7.199999809,8,7.599999905
Canada,2004,,,,,,,,1.002034424,,,,167406,176629,344035,,,,,,,,,,46169.25222,,13.19999981,17.20000076,39.5,44.20000076,47.29999924,38.5,46.41936695,17582282,6.900000095,7.5,7.199999809
Canada,2005,,,,0.84,,,,0.985903767,,,,171793,181291,353084,,,,,,,,,,47179.85791,4.552800179,12.19999981,16.60000038,38.40000153,43.70000076,49.29999924,39.70000076,46.45392353,17716482,6.400000095,7,6.699999809
Canada,2006,,,,,,,,0.796844597,,,,173314,182944,356258,,,,45.79662,41.77901,43.86327,,,,48033.30048,,12.60000038,16.20000076,37.09999847,43,50.29999924,40.79999924,46.66884438,17917851,6.099999905,6.5,6.300000191
Canada,2007,,,,,,,,0.969853611,,,,172659,182318,354977,,,,,,,,,,48550.94241,4.490069866,11.80000019,15.60000038,36.59999847,43.09999847,51.59999847,41.29999924,46.83733822,18287523,5.599999905,6.400000095,6
Canada,2008,,,,,,,,1.082197086,,,,170662,180276,350938,,,,,,,,,,48508.81528,4.528900146,11.39999962,15.30000019,36.59999847,43.09999847,51.90000153,41.59999847,46.83697157,18597272,5.599999905,6.5,6.099999905
Canada,2009,,,,,,,,1.144840183,,,,168653,178205,346858,,,,,,,,,,46542.11076,4.595530033,10.69999981,14.60000038,36.20000076,43.09999847,53.09999847,42.29999924,47.02642854,18720939,7,9.5,8.300000191
Canada,2010,,,,0.7,,,,1.113959721,,,,167603,177114,344717,,,,,,,,,,47445.76193,5.015729904,10,13.80000019,35.70000076,43,54.29999924,43.09999847,47.08563422,18916946,7.199999809,8.699999809,8
Canada,2011,,,,,,,,0.987617711,,,,167684,177176,344860,,,,50.62332,44.51299,47.67457,,,,48455.21402,4.909520149,9.600000381,13.30000019,35,43,55.40000153,43.70000076,47.14629689,19065771,7,7.800000191,7.400000095
Canada,2012,,,,,,,,1.183023858,,,,168532,178018,346550,,,,,,,,,,48721.1803,,9.100000381,13.10000038,33.70000076,42.29999924,57.20000076,44.59999847,47.13905711,19291542,6.800000191,7.599999905,7.199999809
Canada,2013,,,,,,,,1.15590039,,,,169961,179455,349416,,,,,,,,,,49229.50377,,8.699999809,12.60000038,33.59999847,42.5,57.70000076,45,47.20848469,19516479,6.599999905,7.5,7.099999905
Canada,2014,,,,,,,,1.098069388,,,,,181153,,,,,,,,,,,49895.98485,,8.399999619,12.10000038,33.40000153,42.5,58.20000076,45.5,47.12164915,19726591,6.5,7.300000191,6.900000095
Canada,2015,,,,,,,,0.863130607,,,,173273,182858,356131,,,,,,,,,,50000.55965,,,,,,,,,,,,
Brazil,1990,,,,20.01,,,,1.738052341,,,,1639907,1685422,3325329,,,,,,,,,,7909.81137,,,,,,,,35.23695425,62785855,,,
Brazil,1991,,,,,,,,1.664150397,,,,1618169,1663670,3281839,,,,,,,,,,7896.887103,,,,,,,,37.25316441,66647906,9.600000381,5.300000191,6.900000095
Brazil,1992,,,,,,,,1.59730289,,,,1609089,1659051,3268140,,,,,,,,,,7735.464615,,14.19999981,13.80000019,16.60000038,12.39999962,7.400000095,5.300000191,39.21166287,70625546,8,5.400000095,6.400000095
Brazil,1993,,,,,,,,1.553849362,,,,1611930,1669120,3281050,,,,,,,,,,7971.504595,,14.60000038,14,17.29999924,12.60000038,7.400000095,5.5,39.27237931,72133325,7.300000191,5.199999809,6
Brazil,1994,,,,,,,,1.539482098,,,,1624638,1689184,3313822,,,,,,,,,,8268.472118,,,,,,,,39.67816617,74007634,7.300000191,5.099999905,6
Brazil,1995,,,,16.79,,,,1.544566818,,,,1645126,1715227,3360353,,,,,,,,,,8501.340122,,15.19999981,14.80000019,18.5,13.30000019,8,5.900000095,40.0803099,75947050,7.300000191,5.099999905,6
Brazil,1996,,,,,,,,1.553475678,,,,1674437,1747843,3422280,,,,,,,,,,8555.07161,,16.60000038,16.29999924,20.60000038,14.60000038,8.399999619,5.900000095,39.761277,75589700,8.699999809,5.5,6.800000191
Brazil,1997,,,,,,,,1.555075397,,,,1711874,1786950,3498824,,,,,,,,,,8709.028271,,16.60000038,16.10000038,21,15.19999981,8.699999809,6.099999905,40.11494019,78249218,9.899999619,6.199999809,7.699999809
Brazil,1998,,,,,,,,1.550011555,,,,1751333,1826865,3578198,,,,,,,,,,8604.092436,4.677000046,17.5,16.79999924,22.10000038,16.20000076,8.699999809,6.300000191,40.42492696,80136642,11.5,7.099999905,8.899999619
Brazil,1999,,,,,,,,1.534401721,,,,1784772,1860307,3645079,,,,,,,,,,8512.823184,3.726340055,17.89999962,17.39999962,23.10000038,16.79999924,8.5,6.199999809,41.13964501,82880370,12.10000038,7.800000191,9.600000381
Brazil,2000,86.36788177,86.50005341,86.22798157,14.9,62.02373123,64.94194794,59.72227859,1.509387698,86.0431,86.29145,85.77933,1806533,1882178,3688711,,,,,,,,,,8730.147298,3.711620092,,,,,,,41.23763381,84303353,12,7.699999809,9.5
Brazil,2001,,,,,,,,1.486708135,,,,1813851,1889749,3703600,,,,,,,,,,8743.909691,3.649430037,,,,,,,41.33741426,85569837,11.89999962,7.5,9.300000191
Brazil,2002,,,,,,,,1.461195284,,,,1808445,1884512,3692957,,,,,,,,,,8880.166124,3.545949936,,,,,,,41.98269221,88407701,11.60000038,7.300000191,9.100000381
Brazil,2003,,,,,,,,1.415948328,,,,1794708,1870874,3665582,,,,,,,,,,8855.152078,,,,,,,,42.22671187,90365504,12.30000019,7.800000191,9.699999809
Brazil,2004,88.61624146,88.80612946,88.40946198,,65.76216888,68.62110901,63.61566925,1.34637133,88.50482,89.16173,87.78484,1779364,1855541,3634905,6.1,5.9,6,8.60597,7.52122,8.09491,,,,9240.040324,3.833519936,,,,,,,42.54646005,93081751,11.80000019,6.800000191,8.899999619
Brazil,2005,,,,12.3,,,,1.261578257,,,,1767294,1843387,3610681,,,,,,,,,,9416.363871,4.306419849,,,,,,,43.01870386,95902564,12.30000019,7.099999905,9.300000191
Brazil,2006,89.61522675,89.85559082,89.35324097,,68.0830307,69.83229828,66.74994659,1.170442045,89.7126,90.39641,88.96492,1759896,1835840,3595736,6.4,6.2,6.3,9.05135,8.04342,8.57569,,,,9675.389006,4.733819962,39.5,44.70000076,33.09999847,26.60000038,11.10000038,7,43.06600025,97159118,11.10000038,6.400000095,8.399999619
Brazil,2007,90.0093689,90.22801208,89.7721405,,68.94602966,71.31755829,67.12628937,1.088080503,90.27364,91.03706,89.43677,1755586,1831355,3586941,6.6,6.4,6.5,10.14061,8.42728,9.3327,,,,10151.84272,4.834090233,37.79999924,43.59999847,34.29999924,27.70000076,11.89999962,7.300000191,43.10202773,98225866,10.89999962,6,8.100000381
