"","Country.code","capacity","ecosystems","economic","exposure","food","governance","habitat","health","infrastructure","sensitivity","social","water"
"22","BIH",2.455206985,3.06237313,2.12150707,1.93426268,2.380447555,2.15939916,1.548822565,0.72682635,0.914518675,2.07105257,1.65597202,1.99681299
"23","BWA",2.911314465,1.57621115,2.862418985,2.667284005,3.358717685,3.286035875,2.403209325,1.98364896,2.043452,2.5108275,0.8534745,3.3853312
"24","BRA",1.69236381,2.48407833,2.48593804,2.4601094,2.05605417,2.39732162,2.332673635,1.07345111,0.783362595,0.991659705,1.218058765,1.558645995
"25","BRN",2.947967975,1.43693652,2.815290415,2.397689115,3.369659545,3.34822885,2.08036761,0.583030035,1.504893615,1.967870545,1.751354385,3.152365625
"26","BGR",1.48992875,2.054078755,3.02501066,2.212395515,1.74354428,2.636564145,1.87396145,0.66187936,1.08485657,1.535556295,2.504024885,2.3344206
"27","BFA",3.81013035,2.206872225,1.55283229,2.529167855,4.03849574,2.190334075,3.12244771,3.32124236,2.224340925,2.449516395,0.75394461,2.10973403
"28","BDI",3.49243894,3.342905925,1.564551295,3.08414326,4.33375514,1.311895315,4.038314605,3.303095195,2.63379377,3.559067835,0.91851805,2.39801274
"29","KHM",3.347828195,2.23832621,1.992075955,1.886237925,3.28206056,1.748907425,2.486436865,2.76299843,2.43198255,2.66528654,1.116116105,3.0503426
"30","CMR",3.706661045,2.638452765,1.552688645,2.49456861,3.4108902,1.622337,3.34757805,2.303354075,1.018191605,1.621549735,1.15945812,2.263457355
"31","CAN",1.60337536,2.213248805,3.86588086,1.86135428,1.53713218,4.104284245,1.651941065,0.19969567,0.82265982,0.795859155,3.451389065,0.719304695
"32","CPV",3.042720805,2.81086563,2.6472541736328,2.7551701,3.315811375,2.98352842,2.076322905,2.274797135,2.439296835,2.67480603,1.489544825,2.320502705
"33","CAF",3.639333055,2.603927655,1.089461725,2.66450305,3.47972506,1.099002885,3.703072415,3.649493625,2.5,3.01703675,0.553711695,1.987246835
"34","TCD",4.24218349,3.125365495,1.09011871,2.703953785,4.03153921,1.156615895,3.42198238,3.302059235,2.5,2.930970465,0.755230385,3.047923
"35","CHL",1.815434215,2.117120555,3.28689725,1.867683875,0.89888474,3.68635286,2.15035653,1.19144066,1.383630605,1.091699465,2.157863075,1.80820201
"36","CHN",1.834439125,2.64995366,2.49777371,2.092500155,1.498465135,2.085542905,1.44808153,1.33845369,0.954489645,1.004369935,2.22272507,1.973174765
"37","COL",2.052721575,2.63841786,2.970968005,2.561320185,1.96437033,1.9887677,2.66732687,1.39051609,0.768272825,1.073863235,1.42173527,1.946906005
"38","COM",3.28713783,3.36827178,1.90996959,2.74420189,4.340781675,1.579491005,2.488384235,2.87178144,2.87233895,3.070199285,0.58978386,1.12780879
"39","COG",4.06884667,3.162698365,1.207609855,2.59018451,3.88746937,1.45951831,3.47946403,2.620021565,1.220150005,2.485374315,1.03446673,3.289032665
"40","COD",4.451141165,2.98662998,1.29992373,2.542479035,4.31030765,0.86812994,3.428144355,3.387991755,1.3719131,2.76202066,0.890882465,2.971103325
"41","CRI",1.82928593,2.37682293,2.223838435,2.36746041,2.33956171,3.02453253,2.533218855,1.18118832,0.992673095,1.451035405,1.569305545,1.872098585
"42","CIV",3.5211503,2.65482555,1.553852405,2.145197895,3.821023885,1.34941413,2.866888385,2.719422525,1.428596015,1.95466319,0.79472992,1.989365755
"43","HRV",1.50235084,1.894386995,2.522288795,2.34269009,1.622560095,2.80660842,2.127261705,0.50973708,1.43231648,1.969898075,2.79814692,2.816448785
"44","CUB",2.08733928,3.57521008,2.76793027336579,2.43464744,2.43132163,2.104723295,2.69479874,0.24857899,1.903485595,2.34966531,1.741091295,1.860540545
"45","CYP",1.59438318,1.571159295,3.27128421,1.617961145,1.95063025,3.4842566,1.18825128,0.594848,1.991178775,2.217577395,1.96031823,1.42151267
"46","CZE",1.330211215,1.013897845,2.83073646,2.000406105,1.34302115,3.34020399,1.67394453,0.15682587,1.009740955,1.13928636,3.0799602,2.27013816
"47","DNK",1.298879215,1.102637545,4.22361558,2.04407527,1.065620945,4.301547625,2.29875691,0.11836968,2.211703515,1.01961892,4.45602594,0.96913475
"48","DJI",3.36662992,3.32858913,1.839929235,2.684237705,3.51871651,2.040525615,3.40571003,3.074151715,1.897350405,2.900433695,0.698420195,2.319501815
"49","DMA",2.11799344,2.37350465,2.91003069,2.453698885,3.304966145,3.20723195,1.71186434,1.15211412,1.438868465,2.816759195,2.489301605,1.264073815
"50","DOM",2.397920955,2.57327756,2.41325735,2.47958733,2.610915795,2.11045246,2.691017275,1.379667395,1.859190305,1.91260788,1.517323705,2.466164
"51","ECU",2.22613673,2.97500478,2.168401215,2.759557635,2.2876836,1.615060225,3.15860816,1.449476195,1.06141373,1.501918885,1.400831785,2.04304005
"52","EGY",1.527370495,2.292818495,1.956690135,2.38745193,2.30695236,1.929401825,1.307157405,1.264496665,1.63751723,2.401517935,1.765674365,3.823738565
"53","SLV",2.62368564,3.408205515,2.356825555,2.4649239,2.315981605,2.32019898,2.505652255,1.68307939,1.41957353,1.832713215,1.270080395,2.510153225
"54","GNQ",2.656942045,2.12874257,1.68813033,2.377605015,3.480974965,1.459332665,3.018586215,2.050130735,0.94145406,2.7911238,0.348952245,2.428189225
"55","ERI",4.572611595,3.55937978,1.33724151,2.613752955,4.63922159,1.328180965,3.766927145,3.418150685,1.495547445,3.62126065,0.080551135,3.631819435
"56","EST",2.500293645,2.309998375,3.810016515,2.02346849,1.290631205,3.537397995,2.680002975,0.36799918,1.0606433,1.421217065,3.00696591,2.070896015
"57","ETH",3.88408079,2.46085087,2.140628775,2.643207625,3.657859865,1.53851986,3.210779235,3.669312305,1.559776115,2.246603665,0.86017077,2.41583513
"58","FJI",2.64931982,3.71630329,3.12512223,2.665978035,3.27189757,2.104811075,2.686564745,1.362578685,2.16224629,2.721716435,1.527696705,1.08414182
"59","FIN",1.3547045,2.125216865,3.969858805,1.98892565,1.144624315,4.362038465,2.304777735,0.14148413,1.08459185,0.912218505,4.285285895,1.25921052
"60","FRA",1.30414653,1.332684465,3.409856415,2.052315405,1.68818814,3.63969099,1.339470855,0.150066205,1.227495775,0.839379215,3.93506064,2.10180822
"61","GAB",3.07713426,2.013101235,1.72726352,2.58864109,3.349935015,2.09797129,3.734409655,1.833331585,0.875672635,1.713341935,1.276482705,2.05346483
"62","GMB",3.33976728,3.05504702,2.02191991,2.501379,3.613180745,2.143226985,3.13329289,2.662004355,4.00674258,3.423819945,0.880506115,2.50230196
"63","GEO",2.17950675,2.995943695,3.51889884,2.16365275,2.25079403,2.383197985,2.046141795,0.905398115,1.844756515,2.08057775,1.71245927,2.122006705
"64","DEU",0.74639047,1.005184455,3.75806158,1.65822495,0.78933135,3.97364333,1.102295135,0.133463455,1.50688231,1.0453492,4.088914415,2.36277254
"65","GHA",2.88907849,2.527880775,2.788718615,2.63700249,3.25487988,2.4891019,3.23198009,2.71855244,1.41844545,2.028198985,1.085633455,1.956821305
"66","GRC",1.445391105,1.488599695,2.6238015,2.37555419,1.739267975,2.86237659,1.999888075,0.536738705,1.677168605,1.60902328,2.969957165,2.13094188
"67","GRD",2.53664046,2.48484209,2.54598755,2.57285788,3.51940271,2.84311152,2.019947745,1.00840448,2.48111461,2.34065007,2.89866547,2.06517613
"68","GTM",2.501267705,3.269861585,2.3312283,2.70544994,2.89081049,1.8407973,2.60981827,1.86986837,1.31026777,1.93734297,0.963116715,2.33749474
"69","GIN",4.14930341,2.94847539,1.391210405,2.427366915,3.515056215,1.183440485,3.32230289,2.954357275,1.9725025,2.340311035,1.16269409,2.440853035
"70","GNB",3.367119615,3.125474015,1.446107345,2.517509385,3.46486601,1.40266308,3.15704639,3.474931345,3.33652449,3.537585995,1.072343625,2.708724355
"71","GUY",3.202621275,3.288659075,2.5275956,2.22951503,2.94151906,1.932661535,3.194711725,2.090664235,2.422302175,3.005653365,1.26625316,2.181326115
"72","HTI",4.13472485,3.2732416,1.572955365,2.480386545,3.29846246,1.32726704,2.95214648,3.360638205,2.075152285,2.328906385,0.458918495,2.928394525
"73","HND",2.606621185,3.061299105,2.121950205,2.475607705,2.950081145,1.85102904,2.825592125,1.729716075,1.675892035,2.068165375,0.847516915,2.05820805
"74","HUN",2.124047255,1.900677345,3.06619442,2.24360513,1.980651315,3.22977505,2.15735806,0.352679375,1.02456254,1.815806765,3.018835055,3.01063853
"75","ISL",1.689164915,2.53979481,4.024545115,1.724132055,2.19649252,4.09029443,1.855644625,0.125616055,1.05005532,1.245445665,4.069418105,0.68962858
"76","IND",2.89319144,3.38377958,1.95771718,2.71974534,2.734283425,2.00979299,1.998439955,2.596667615,1.34261606,1.651182,1.29281077,2.47245093
"77","IDN",2.725822595,2.59585723,2.368380625,2.484974385,2.983976055,1.867734675,2.32348668,1.726853005,1.309109115,1.22183094,1.433459,1.925973755
"78","IRN",2.345511675,2.73648848,2.002863775,2.22133203,2.116220465,1.41399354,1.41582517,1.28856142,0.95895672,1.48992979,2.49479987,2.978921645
"79","IRQ",2.608132005,3.67655075,2.007796395,2.746238965,2.830509145,0.863310445,2.108189565,2.11979326,1.04875877,2.534113975,1.2999886,3.114053325
"80","IRL",1.95997492,2.143467895,3.916627445,1.725795505,1.506408105,4.026955435,1.612739755,0.258938025,1.677688815,1.62153804,3.57251864,1.74028152
"81","ISR",1.57084963,1.534967065,3.35931419,1.867429455,2.018757915,2.90088084,1.21380933,0.47245637,1.711097485,2.379072385,3.44020298,3.460800085
"82","ITA",1.029349795,1.63429848,2.9652462,2.32469629,1.799129095,2.96433179,1.298928945,0.517543335,1.84960531,1.175354735,3.34402028,1.710981585
"83","JAM",2.209092185,2.23543867,2.818356695,2.648388175,2.898278775,2.319928115,2.512407385,1.82172306,1.87732051,2.271319185,1.370224695,1.997398305
"84","JPN",1.031696855,2.08553519,3.677026795,2.400628815,1.76670845,3.724507325,2.162087715,0.401432145,2.03448446,1.8755004,3.907768895,1.032113135
"85","JOR",2.06892767,2.48188803,2.2585803,2.01037621,2.644268325,2.59096158,1.747368835,0.912547525,1.80799235,2.5046885,1.93874634,3.573919695
"86","KAZ",1.820335905,2.355720585,2.7216891,2.235068355,2.23957478,2.054672615,1.83916986,0.254344625,0.950897915,1.717651865,2.92528143,1.99989835
"87","KEN",3.62499893,2.693231125,2.198573555,2.330459075,3.645699455,1.662426865,2.94172241,3.243704705,1.48283326,2.347603225,0.68909607,2.5989315
"88","KIR",2.795167995,3.25233186,2.681389795,3.243495385,3.65434376,2.62871169,2.811580405,2.172189715,4.223300995,3.56431698,2.11973548,1.947900465
"89","PRK",2.7805619,4.3964456,2.13063561687984,2.710202355,1.54952931,1.19251561,2.75079231,2.237433915,1.62919976,2.352217,2.567069385,1.997779195
"90","KOR",1.24701673,2.79806012,3.90098879,2.333801035,1.69011937,3.16519621,1.53826781,0.525037625,1.551163,1.12053997,4.739303655,1.56008105
"91","KWT",1.67750531,1.72844855,2.702674575,2.84217178,2.510739405,2.80173899,2.282639775,0.78429199,2.161470895,2.47789518,1.95402089,4.022217285
"92","KGZ",1.9447706,3.256159695,2.558980855,1.89092472,1.99858899,1.56635526,1.70719017,0.98632533,1.28386121,2.169941635,1.877988275,1.70482314
"93","LAO",3.342104935,2.793072785,1.67735295,2.130475085,2.95641125,1.70957029,2.45549104,2.535945785,1.999262055,2.65768605,1.490912395,2.85331359
"94","LVA",2.25176325,1.945171225,3.48806691,2.06909059,1.415313825,3.12127054,2.431165435,0.712193695,2.200329445,2.207554065,3.014077995,2.55100349
"95","LBN",2.342544855,2.951521835,2.429415145,2.020132575,2.33655747,1.668806815,1.907576585,1.41131904,1.92752216,2.350000645,2.501652355,2.54944603
"96","LSO",3.9085573,2.889863985,1.94798756,2.331031705,3.10616492,2.329092475,2.72817099,2.942824315,2.98795394,2.563218145,0.519303275,2.39930828
"97","LBR",4.29956249,3.47310654,1.63377041,2.41195358,3.774219695,1.579337855,3.59949353,3.43640721,1.93224595,2.978666515,1.16707428,2.464348565
"98","LBY",2.993038135,3.529408615,1.440542705,1.945202475,2.514379965,1.48438399,1.88765703,0.70534012,0.291244915,2.509364965,1.962825535,3.85578361
"99","LIE",2.488560565,1.789211115,3.10712182524554,1.89737662,2.126911225,4.003726555,1.49528742,0.35510904,0,4.133927065,3.39648556,4.23641116005078
"100","LTU",2.127783945,2.115325635,3.690450935,2.023241245,1.18253349,3.18621719,2.68990869,0.486051765,1.408632545,1.85335979,2.827080165,2.105006695
"101","LUX",1.603356415,0.955042715,3.11651983,2.04784743,1.328923655,4.22976038,1.0461618,0.2760799,1.7775996,1.64696992,2.75410561,3.0267611
"102","MDG",4.30968902,3.65095714,1.927479245,2.0971989,3.940842145,2.02711791,2.68976052,3.381190385,1.893324785,2.709831515,0.743222355,2.47513883
"103","MWI",3.229175935,2.683607665,2.097004185,2.706659455,3.391585525,2.18004611,2.41212065,3.30402134,2.354810645,2.700184535,0.595341545,2.63663269
"104","MYS",1.89924199,1.658924965,3.6019155,2.32100048,3.293850045,2.860964345,2.04185921,0.934421965,0.94815193,1.426036785,1.79324644,1.73775405
"105","MDV",1.8111025,2.65131572,3.134349895,3.715877545,3.946849425,2.29714178,2.6389641,1.727659,3.20952591,2.582162785,1.672222335,0.334483705
"106","MLI",4.279676135,3.133156725,1.65346537,2.53044625,3.861592325,2.00238938,2.91696316,3.39503181,2.452583815,2.670705655,1.234718415,2.761953485
"107","MLT",1.834205565,1.373487385,2.66291634,2.455542995,1.16011885,3.69089925,2.040273465,0.317395345,2.896938975,2.394059105,2.260990305,2.939684875
"108","MHL",2.592783425,4.359317435,2.691936585,3.166176815,3.200902675,2.463198215,3.19265067,2.29585699,4.067706015,3.879386745,1.159362345,0.3215952
"109","MRT",4.17893511,3.0774499,1.58564744,2.579740795,3.891241115,1.80652227,2.324636295,3.44804345,2.95307933,3.126581265,1.050427455,4.227090695
"110","MUS",2.172084425,2.914447015,3.595382145,2.47905917,3.189935325,3.257215485,1.42400071,1.195496085,1.88747337,2.37983034,1.777880405,2.042108485
"111","MEX",1.98091869,2.57063321,3.03608747,2.4146308,2.25199781,2.186251325,1.865801735,1.1319486,0.81644125,0.92226958,1.34493862,1.998815535
"112","FSM",3.0377149,4.450573125,2.166293265,3.22955231,3.55342068,2.661741615,3.38455371,2.527923535,3.88657518,3.893312885,0.764546265,0.59542324
"113","MDA",2.50040739,3.13871608,2.641179375,1.79793821,2.077908815,2.130448235,1.90260911,0.9231217,1.655732615,2.57785503,2.199545055,3.134556845
"114","MCO",1.393348475,2.446542205,3.49439058599535,2.31450933,2.1916435,3.46866534,1.11605931,0.142043615,2.268699595,3.75,3.633747335,1.110225e-15
"115","MKD",2.16181276,2.352751045,2.8665526,2.46708788,1.74437476,2.32802932,1.70563165,0.994498615,1.39734627,1.790416825,1.817464355,2.38573719
"116","MNG",3.09287253,2.021971755,2.74055545,2.33277376,1.988203255,2.354731605,2.823799185,1.576356895,1.17283119,1.280653405,2.07833654,3.191575635
"117","MNE",2.030107135,2.54459364,3.01866268,1.884066,2.73654826,2.51232368,1.931847165,0.6871135,0.95699961,3.42906436,2.3781986,3.013447595
"118","MAR",2.654011135,2.67930222,2.41367348,2.383353215,2.71571465,2.21362471,1.290624775,1.812782565,1.723129795,1.593031975,1.26052853,3.039238635
"119","MOZ",3.504164825,2.655145405,1.97298893,2.438841555,3.612874405,2.14559888,2.693204775,3.461640975,1.958252905,2.59511215,0.6241224,2.695118595
"120","MMR",3.304259,3.30926193,1.425331245,2.509281725,2.669075785,1.00456744,2.41172592,2.553444495,2.1468958,1.8602461,0.468009585,2.333196
"121","NAM",3.23666686,2.48501929,2.77200856,2.780427475,3.392827835,2.855534805,2.79516496,2.43677568,2.22501165,2.598856,0.904345795,3.52962875
"122","NRU",2.81139218,4.82787187,3.11567850832265,3.346812325,4.34267534,2.59634814896209,2.40291208,0.50662419,4.5404812,4.166666665,0.210537795,0
"123","NPL",3.16518303,3.11621182,2.723216385,2.802402225,2.946949375,1.570309755,2.283487125,3.276380395,1.3494143,2.01716207,1.07419451,2.38862069
"124","NLD",1.087700495,1.053927945,3.423750585,2.18835325,1.350990675,4.15903183,1.673227865,0.18685,2.288309525,1.724749325,3.761789195,2.840131905
"125","NZL",1.591133035,2.084249265,4.426218235,2.01943174,1.309106805,4.32357154,2.315466775,0.141075895,1.181470145,1.47983758,4.505009,0.91464559
"126","NIC",2.355617905,3.005200975,2.157208685,2.508147245,2.59151555,1.970544715,2.78673495,2.134030785,1.63844036,1.875243765,0.96612903,1.32209521
"127","NER",4.23659207,2.491751425,1.5163197,2.64102802,3.94194457,1.82037541,3.341271845,3.923044725,2.563007005,2.876001045,1.10163118,2.86105955
"128","NGA",3.58577625,2.437532585,1.914463575,2.37879024,3.851491045,1.25441655,2.809337035,2.411612925,1.175474045,1.71545851,0.86329725,2.67460238
"129","NOR",0.9354066,1.859708705,4.159744265,1.836603835,1.168160155,4.192464145,2.038540925,0.15943492,0.56109135,1.288205325,4.298561505,0.888094645
"130","OMN",2.611603775,2.64400046,3.147876305,2.85798691,3.378033705,3.001678305,2.067503955,0.832167665,0.79440553,2.01349337,1.746372315,3.365736315
"131","PAK",2.546391715,3.204962685,2.52133536,2.456761305,2.59607771,1.3092769,1.69867599,2.429847085,1.099464895,2.26128907,1.16191276,3.49985581
"132","PLW",2.063122985,2.689433865,2.39080027,3.01507246,2.551625725,2.686336995,3.46508771,1.625101035,3.8862436,3.828317475,2.815205495,0.27716063
"133","PAN",1.98792503,1.95978732,2.948616105,2.428285285,2.71886949,2.456510665,2.709826725,1.426669215,1.727068615,1.676420365,1.57256605,1.64304
"134","PNG",4.39532529,3.79120607,2.33029984,2.639307865,4.300078905,1.64210983,3.623382385,2.99424923,2.249824645,3.35769276,0.51296321,2.674564685
"135","PRY",2.23724948,2.14938442,2.393927725,2.409426335,2.39550488,1.733089435,2.58637147,1.3896949,0.80403098,1.610899405,1.22256488,2.01573302
"136","PER",2.70301173,2.49011162,3.05940084,2.40476714,2.32308522,2.12927416,3.21397185,1.694439465,1.02548083,1.359442805,1.422933615,2.18735436
"137","PHL",2.61683805,2.686247005,2.193703565,2.215451465,2.89799271,1.83981852,2.84477823,1.23185482,1.82893119,1.768089435,1.38655607,1.71095394
"138","POL",1.79395152,1.518802385,2.93387032,1.699606665,0.830935435,3.17381067,1.69757037,0.51053744,1.135662,0.82448084,3.068734195,2.247726325
"139","PRT",1.606006175,2.32119669,3.38602151,2.218842865,2.30458423,3.44206973,1.34788093,0.3318912,1.522090875,1.654198535,2.84222568,2.681215265
"140","QAT",1.598909285,2.470367535,3.249995585,2.768790675,1.746450475,3.421183575,1.548990565,0.385925955,2.303160925,2.508656385,1.131836415,3.04835977
"141","ROU",2.046214045,2.810328305,2.851136945,2.09339311,1.821017215,2.62577493,2.073538505,0.859415045,1.186981555,2.16073015,2.56039884,2.79435121
"142","RUS",2.10543828,2.209783735,2.57215273,1.730159315,1.559924085,1.736909425,1.75248937,0.51362988,0.441899055,0.804815635,3.37551997,0.72234251
"143","RWA",3.12256352,3.230001955,2.41442277,3.18657524,3.48660149,2.290724855,3.43971191,3.36400038,2.16743392,2.87838596,0.655080045,2.525220095
"144","KNA",2.116767075,2.1896772,2.78862477,2.68753817,3.61730514,3.30355249,2.465374505,0.95209826,2.758057575,3.03023551,2.29026686,1.697683055
"145","LCA",1.75166367,2.134892395,2.944397705,2.53063303,2.59664058,3.318998065,1.77650923,1.29412167,1.55757607,2.11494998,1.64504178,1.54702317
"146","VCT",2.41104581,2.27311321,2.96348662,2.680747495,3.422484705,3.31434533,1.82892134,1.40597833,3.341443945,2.480851335,2.004509455,1.32423762
"147","WSM",2.051975145,3.47466912,3.052764635,2.829896795,3.37988462,2.948595995,3.504139055,1.717032255,2.052842115,3.802671685,0.62134983,1.40781778
"148","SMR",2.440936425,2.528451585,2.95265074,1.999802735,0.821378865,3.54415777,1.451083875,0.17755452,0,3.359897635,3.93480669,4.94576437
"149","STP",2.57093712,3.329271385,1.554126865,2.927616775,3.407453205,2.07950517,3.34212831,3.28132216,2.25740191,3.80901399,1.23903406,2.021875245
"150","SAU",2.625691645,1.87563871,3.405840935,2.516815425,3.1417789,2.44765356,2.21230435,0.910900575,0.58169133,1.278477595,1.74542286,3.383270685
"151","SEN",3.21238274,2.187610645,1.464929665,2.55923655,3.96278073,2.222313675,2.78990067,2.720090895,2.38467981,2.592739425,1.13108899,2.683654685
"152","SRB",2.11325734,2.31540555,2.526921325,2.375166475,1.979505305,2.172745985,2.07109317,0.712666715,1.350696725,2.139666775,2.53004528,2.66793026
"153","SYC",1.46974726,2.12021532,2.937804085,3.19888615,2.845219645,2.64832264,1.93281377,1.05856774,2.93941675,2.84146428,1.27548486,0.238835815
"154","SLE",4.156318615,3.429327785,1.859703195,2.46350198,3.49557277,1.75011384,3.524502455,3.401098635,2.06116969,2.696564135,1.06725226,2.57482136
"155","SGP",1.412632695,1.700259595,4.637272285,2.78297651,1.657518475,4.24854675,2.060083715,0.493637615,2.48264105,2.283042075,3.707065735,1.557597085
"156","SVK",2.180014895,1.50092065,3.182305715,2.230813515,1.88749498,3.18943617,1.314826265,0.508702165,1.39968125,1.926795005,2.511708085,2.982019175
"157","SVN",1.319592335,1.39527706,3.14312742,1.96383283,1.94787219,3.385819515,1.3248527,0.27352435,0.942897955,2.265409725,4.06561866,2.703499905
"158","SLB",3.54045224,3.42405763,2.623446225,2.861593935,3.80354081,2.01738599,3.771042945,2.932201235,3.67834773,4.00546831,0.31156148,1.840856605
"159","SOM",4.71565154,3.86450705,0.763548167319492,2.74285941,4.383941815,0.24421252,3.52667949,3.53228897,1.62610735,3.591997075,0.18585773,3.777334695
"160","ZAF",2.850425135,2.7907184,3.16973237,2.48003453,2.44056379,2.673084305,1.821212905,1.486782335,0.69969169,0.98254879,1.017932035,2.670329745
"161","ESP",1.82902679,1.67635334,3.166617705,1.849844225,2.074935765,3.268374895,1.05357251,0.26882118,1.545833595,1.173209905,3.02018702,2.02144034
"162","LKA",2.56432166,2.23557975,2.53711354,2.22684849,3.17918475,2.103013735,3.111614155,1.39474651,1.54408658,2.26189762,1.301934965,1.72531723
"163","SDN",4.196967835,3.986677205,1.981925305,2.796459215,4.500948005,0.91277598,2.803247765,3.11124432,1.548375975,2.694640745,1.03188546,4.00691318
"164","SUR",1.732566525,2.43684653,1.70660083,2.263846285,1.974119285,2.27355947,2.711151745,1.114290525,1.918081805,2.29893787,1.230497815,1.371777375
"165","SWZ",3.30083428,3.1392204,2.165094895,2.447418115,3.29798469,2.07975285,2.46177287,2.17129619,2.6644445,2.872624675,0.66785606,3.159848695
"166","SWE",1.533227705,2.070407725,3.936005025,1.93383069,1.237906445,4.252003535,2.61699636,0.120440075,0.96082464,0.88055807,4.42777911,1.0616421
"167","CHE",1.03585089,0.70484279,3.58879104,2.099683385,1.34796199,4.210403285,1.46120082,0.11836968,1.234739325,1.095057505,3.872750155,2.3578525
"168","SYR",2.754934085,3.286398935,1.972001495,2.211956635,3.20738835,1.40540364,1.830332065,1.15219897,0.877157365,2.224271505,1.459595015,3.73008016
"169","TJK",2.30151373,3.21208698,1.796537795,2.0193279,2.85152614,1.42008014,1.96695275,1.01588811,0.907402675,2.740930795,1.3393516,2.46929589
"170","TZA",3.66075773,2.714868695,2.19355775,2.40331289,3.449314835,2.09486331,2.98623271,3.453935195,1.567499855,2.4056031,1.052337425,2.386640925
"171","THA",1.783093365,2.60212294,3.731948335,2.31826721,2.12752932,2.154666025,1.50486543,1.352100375,1.69103685,1.737511005,1.936979065,2.400088235
"172","TLS",3.33139559,3.640431295,1.88766696,2.68769774,3.662126625,1.542730395,3.67767591,3.6806937,2.11592852,3.335210195,1.59357072,2.099767975
"173","TGO",4.01249074,2.7597534,1.591407235,2.74112233,3.54206391,1.70259498,3.4400274,2.830042995,1.98395757,2.052325265,0.965507125,3.056031385
"174","TON",1.97404006,3.324475015,2.93371305,2.977382955,3.55347215,2.39980862,2.958045265,1.6371834,3.301970515,4.04136062,0.839848945,1.283719955
"175","TTO",1.64374963,1.255880945,2.775627095,2.18651114,2.92454839,2.485275355,1.880652545,1.178051225,1.196110735,1.54719608,1.09722037,2.11322071
"176","TUN",2.402228055,2.69945233,2.967713735,2.10462284,2.549528125,2.39291348,1.58775758,0.999447265,1.53070657,1.71893292,1.62327529,3.084675765
