"","Time","Country.Name","GDP..PPP..constant.2011.international...","Employment.in.industry....of.total.employment.","Employment.in.agriculture....of.total.employment.","Total.greenhouse.gas.emissions..kt.of.CO2.equivalent.","Renewable.energy.consumption....of.total.final.energy.consumption.","Fossil.fuel.energy.consumption....of.total.","Energy.use..kg.of.oil.equivalent.per.capita.","CO2.emissions..metric.tons.per.capita.","Population..total"
"1",2,"Afghanistan",46495656381.9102,22.8794542536432,9.85930181280998,17791.3299018728,15.1715175144124,87.2188625313404,947.485719149603,0.30293638839023,27962207
"2",2,"Albania",27306191329.5243,19.2123171103531,48.0974965769411,8506.99603431525,37.1862125480726,63.0060071058106,724.562919388497,1.57857358391855,2913021
"3",2,"Algeria",464805052172.079,23.9751947919529,3.98231133703075,167674.633000695,0.257181978405563,99.8478347914606,1112.4019349565,3.30716434012848,36036159
"4",2,"American Samoa",1025483298108.07,23.2000007629395,3,56.6374866017899,-28.0259421125253,133.948333676709,1424.72560012828,4.96573926696124,55636
"5",2,"Andorra",-30036700578.8585,32.4339101649118,0.858305946044778,-308368.435619267,1.96162886402769,91.7692469258693,2134.2976632282,6.12477049005556,84419
"6",2,"Angola",137763693380.123,17.0040620107211,20.7050635806976,40029.3921005695,57.2750449010808,38.9565256409454,632.248118916752,1.36933887792594,21219954
"7",2,"Antigua and Barbuda",1794152457.65239,25.8864332944425,0.713256432567675,521.051312844337,33.1704999136106,80.1861069809367,2223.20678137688,6.01126867125973,87233
"8",2,"Argentina",774753787497.034,24.1000003814697,3,364684.253845885,8.96067011080365,89.5109284056132,1909.7257044784,4.55861174166042,41222875
"9",2,"Armenia",19286178299.7958,17.3999996185303,38.5999984741211,11393.0393525219,9.36341748972634,67.4011084886,837.929593966045,1.42299837759187,2963496
"10",2,"Aruba",328533776824.865,14.5,0.600000023841858,387.904772272898,5.47276042886018,84.7012634513693,8190.04744465298,24.182702245145,101597
"11",2,"Australia",911304031483.534,21.3999996185303,3.20000004768372,782102.692196849,7.15970778869288,95.2064814499875,5648.6965856094,16.9209536691366,22031750
"12",2,"Austria",359330232465.755,25.2000007629395,4.69999980926514,94172.3509433563,31.3980513617781,70.1200991431839,4079.86496885718,8.11059300734486,8363404
"13",2,"Azerbaijan",144418926509.107,13.6999998092651,38.2000007629395,50724.569637349,4.44973391611003,96.9324916140822,1279.552594272,3.38822587905988,9054332
"14",2,"Bahamas, The",8260934776.35865,16.2300119045591,17.5143927016063,4570.35755329238,1.58860776596666,102.000876950481,2910.40705698348,6.82932128703268,360830
"15",2,"Bahrain",50752452953.3743,35.2999992370605,1.10000002384186,30921.9708369881,-14.5989058636541,99.8814621642045,9952.24364336064,23.1011996172261,1261319
"16",2,"Bangladesh",371659006686.465,17.7000007629395,47.5,177504.473602208,41.0269065528319,71.2455501485281,200.647458691197,0.395682596524262,151616777
"17",2,"Barbados",4290445557.93256,19.6000003814697,2.79999995231628,1449.42611368458,8.81499567559815,98.4269745306239,2195.09872744975,5.28605409813783,279566
"18",2,"Belarus",149022529944.618,34.0999984741211,10.5,108204.547178591,7.01637088092261,91.9955359666712,2900.22044257113,6.60253203371971,9490000
"19",2,"Belgium",443429034940.297,23.5,1.29999995231628,138029.410871298,5.18756007288327,73.4950691844096,5598.31357395555,9.88942935240014,10895586
"20",2,"Belize",2532788286.07437,19.7118789177895,18.1476183946285,1498.87844951416,26.9344129004042,70.7822981881335,248.705434786367,1.67610048226262,321609
"21",2,"Benin",16731414124.1439,10.3999996185303,45.0999984741211,33029.8223452635,51.5493723622777,41.5541857358705,384.167991791203,0.535215995124187,9509798
"22",2,"Bermuda",3672668487.99025,12.8999996185303,1.39999997615814,594.651571750838,15.5204020523171,76.2686154359584,3579.66029864317,8.78404274921688,65124
"23",2,"Bhutan",4671219172.59607,6.69999980926514,59.5,3220.40038033772,91.3844997619076,4.01904891382259,1479.83281948251,0.677145031003296,720246
"24",2,"Bolivia",53632598252.0909,23.4120461347788,23.7641121636353,102900.515628915,33.5383341388364,83.1513455748569,644.580165140103,1.53287018015788,9918245
"25",2,"Bosnia and Herzegovina",35784074817.8241,19.136776799535,21.5050160848647,25619.3313185136,19.5627091983836,91.6526353322398,1689.93246347443,5.54745834569669,3835258
"26",2,"Botswana",26866632486.5685,17.5,26.3999996185303,81652.255603953,24.1049180959398,66.3467042019285,1066.44640109462,2.34220304312221,2047831
"27",2,"Brazil",2861222530541.25,24.1000003814697,10.5782339616973,2902242.61816138,47.0080898079932,53.4853599793767,1338.58958871663,2.11341454484465,198614208
"28",2,"British Virgin Islands",202086218653.509,11.1000003814697,0.5,119.867609183181,40.0183271316332,68.2871496789355,2783.31393695109,6.33100686919149,27223
"29",2,"Brunei Darussalam",28294780375.7683,27.3293006101028,-2.92289539840935,14123.5980784977,-0.943295472664378,93.313491204422,8238.79359881211,20.8569470788351,393302
"30",2,"Bulgaria",112868533242.196,33.4000015258789,6.69999980926514,67945.3135,14.3681095650902,73.1607782360012,2416.36492189476,5.96539604161881,7395599
"31",2,"Burkina Faso",22234028341.5079,16.0846008044287,29.6732946855493,43405.9091881049,83.685211868941,7.5820605463156,942.671590674631,0.125501325288673,15632066
"32",2,"Burundi",6696461063.94965,19.5505594516932,38.924757320469,6040.9823701579,96.855982963671,-9.38241895119691,748.709326772062,0.0224800094957075,9461117
"33",2,"Cabo Verde",2928018209.54597,26.5058534179206,6.72816221990055,395.335709236794,27.6235505341869,74.6487003810429,651.860350618953,0.979603531146317,490379
